,STATEFP,COUNTYFP,TRACTCE,AFFGEOID,GEOID,NAME_x,LSAD,ALAND,AWATER,NAME_y,c_race,c_white,c_black,c_asian,c_latinx,state_fips,county_fips,tract_fips,med_rent,med_hhinc,c_tenants,c_owners,c_renters,c_movers,c_stay,c_movelocal,c_movecounty,c_movestate,c_moveabroad,c_commute,c_car,c_carpool,c_transit,c_bike,c_walk,year,FIPS_11_digit,p_white,p_black,p_asian,p_latinx,p_owners,p_renters,p_stay,p_movelocal,p_movecounty,p_movestate,p_moveabroad,p_car,p_carpool,p_transit,p_bike,p_walk,pop_dens_km2,pop_dens_mi2
0,06,001,425101,1400000US06001425101,06001425101,4251.01,CT,590870,2045459,"Census Tract 4251.01, Alameda County, California",1588,936,63,421,67,6,1,425101,1736.0,77404.0,1135,581,554,1588,1374,58,57,59,40,902,497,97,153,14,56,2018,06001425101,0.5894206549118388,0.03967254408060453,0.26511335012594456,0.04219143576826197,0.5118942731277533,0.4881057268722467,0.8652392947103275,0.03652392947103274,0.03589420654911839,0.0371536523929471,0.02518891687657431,0.5509977827050998,0.10753880266075387,0.1696230598669623,0.015521064301552109,0.06208425720620842,2687.5624079746813,6960.7543859055295
1,06,001,428600,1400000US06001428600,06001428600,4286,CT,898967,1080420,"Census Tract 4286, Alameda County, California",3471,1470,218,1219,196,6,1,428600,2155.0,87344.0,1610,870,740,3449,2647,234,381,126,61,1785,982,34,483,62,63,2018,06001428600,0.4235090751944685,0.06280610774992798,0.3511956208585422,0.056467876692595786,0.5403726708074534,0.4596273291925466,0.7674688315453755,0.06784575239199768,0.11046680197158597,0.03653232821107568,0.017686285879965208,0.5501400560224089,0.01904761904761905,0.27058823529411763,0.03473389355742297,0.035294117647058816,3861.098349550095,10000.19839215455
2,06,001,432600,1400000US06001432600,06001432600,4326,CT,1673450,0,"Census Tract 4326, Alameda County, California",7314,1818,1141,1597,2224,6,1,432600,1431.0,59172.0,3040,1052,1988,7198,5972,834,280,12,100,3817,2441,242,905,0,136,2018,06001432600,0.24856439704675964,0.15600218758545256,0.2183483729833197,0.3040743779053869,0.3460526315789474,0.6539473684210526,0.8296749096971381,0.11586551819949985,0.038899694359544316,0.0016671297582661851,0.013892747985551542,0.6395074665968038,0.06340057636887607,0.23709719675137544,0.0,0.035630075975897305,4370.61161074427,11319.831624488332
3,06,001,433200,1400000US06001433200,06001433200,4332,CT,3174901,0,"Census Tract 4332, Alameda County, California",7625,1383,1617,2611,1667,6,1,433200,1219.0,44693.0,2754,1161,1593,7395,6564,638,113,37,43,3205,2421,293,309,22,17,2018,06001433200,0.18137704918032788,0.21206557377049184,0.34242622950819673,0.21862295081967206,0.4215686274509804,0.5784313725490197,0.8876267748478702,0.08627450980392158,0.015280594996619337,0.0050033806626098715,0.00581473968897904,0.7553822152886115,0.09141965678627144,0.09641185647425896,0.006864274570982839,0.005304212168486739,2401.6496892344044,6220.243875320836
4,06,001,433900,1400000US06001433900,06001433900,4339,CT,816585,0,"Census Tract 4339, Alameda County, California",7440,689,2110,1102,3146,6,1,433900,1535.0,46467.0,2419,425,1994,7392,6676,538,0,0,178,2984,2261,246,215,47,31,2018,06001433900,0.09260752688172044,0.28360215053763443,0.14811827956989249,0.4228494623655914,0.1756924348904506,0.8243075651095494,0.903138528138528,0.07278138528138528,0.0,0.0,0.02408008658008658,0.7577077747989276,0.0824396782841823,0.07205093833780161,0.015750670241286863,0.010388739946380695,9111.115193151969,23597.67901688128
5,06,001,436100,1400000US06001436100,06001436100,4361,CT,1258238,0,"Census Tract 4361, Alameda County, California",6146,1425,274,1580,2515,6,1,436100,1329.0,89083.0,1807,1048,759,6095,5401,448,161,36,49,2905,1998,286,351,38,62,2018,06001436100,0.2318581191018549,0.04458184184835665,0.2570777741620566,0.4092092417832737,0.5799667957941339,0.4200332042058661,0.8861361771944216,0.07350287120590647,0.026415094339622643,0.005906480721903199,0.008039376538146022,0.6877796901893287,0.09845094664371773,0.1208261617900172,0.01308089500860585,0.021342512908777967,4884.608476297807,12651.077338309604
6,06,001,437300,1400000US06001437300,06001437300,4373,CT,1027863,0,"Census Tract 4373, Alameda County, California",3258,591,438,859,1057,6,1,437300,1364.0,73620.0,953,517,436,3196,2924,161,56,32,23,1362,997,208,50,0,23,2018,06001437300,0.1813996316758748,0.13443830570902393,0.26365868631062,0.32443216697360344,0.5424973767051416,0.4575026232948584,0.9148936170212766,0.050375469336670836,0.01752190237797246,0.010012515644555695,0.007196495619524406,0.7320117474302497,0.1527165932452276,0.03671071953010279,0.0,0.016886930983847283,3169.6831192483824,8209.44124265588
7,06,001,438300,1400000US06001438300,06001438300,4383,CT,855994,0,"Census Tract 4383, Alameda County, California",3887,187,412,1568,1337,6,1,438300,2130.0,80781.0,862,584,278,3840,3609,75,55,7,94,1816,1153,219,282,11,3,2018,06001438300,0.048109081553897606,0.10599434010805248,0.4033959351685104,0.3439670697195781,0.6774941995359629,0.3225058004640371,0.93984375,0.01953125,0.014322916666666666,0.0018229166666666667,0.024479166666666663,0.6349118942731278,0.12059471365638764,0.15528634361233482,0.006057268722466961,0.0016519823788546256,4540.919679343547,11760.927478463633
8,06,001,440335,1400000US06001440335,06001440335,4403.35,CT,2005295,0,"Census Tract 4403.35, Alameda County, California",6772,1267,264,4228,679,6,1,440335,2249.0,161736.0,2269,1225,1044,6586,5740,390,330,36,90,2590,1435,223,611,0,107,2018,06001440335,0.1870939161252215,0.038984051978735966,0.6243354991139988,0.10026580035440047,0.5398854120758043,0.4601145879241957,0.8715457030063771,0.0592165198906772,0.05010628606134224,0.005466140297600972,0.013665350744002429,0.5540540540540541,0.0861003861003861,0.2359073359073359,0.0,0.04131274131274131,3377.0592356735547,8746.542895683677
9,06,001,441524,1400000US06001441524,06001441524,4415.24,CT,1680737,0,"Census Tract 4415.24, Alameda County, California",4428,432,100,3644,165,6,1,441524,2564.0,150250.0,1424,879,545,4350,3827,198,147,77,101,1548,903,274,273,0,0,2018,06001441524,0.0975609756097561,0.022583559168925026,0.8229448961156278,0.03726287262872629,0.6172752808988764,0.3827247191011236,0.8797701149425288,0.04551724137931035,0.033793103448275866,0.017701149425287357,0.0232183908045977,0.5833333333333334,0.17700258397932814,0.17635658914728686,0.0,0.0,2634.558529978218,6823.474977941225
10,06,001,442700,1400000US06001442700,06001442700,4427,CT,1234034,0,"Census Tract 4427, Alameda County, California",3118,1118,161,1223,519,6,1,442700,2259.0,131579.0,1046,729,317,3086,2692,276,43,40,35,1228,872,74,157,0,48,2018,06001442700,0.35856318152661965,0.05163566388710712,0.3922386144964721,0.16645285439384222,0.6969407265774379,0.3030592734225621,0.8723266364225535,0.08943616331821128,0.013933895009721323,0.012961762799740765,0.01134154244977317,0.7100977198697068,0.06026058631921824,0.1278501628664495,0.0,0.03908794788273615,2526.6726848692983,6544.051933739265
11,06,001,443322,1400000US06001443322,06001443322,4433.22,CT,1148282,0,"Census Tract 4433.22, Alameda County, California",3313,632,63,2241,160,6,1,443322,2659.0,167917.0,962,865,97,3261,3028,47,69,96,21,1361,1082,107,83,4,19,2018,06001443322,0.19076365831572592,0.019015997585270148,0.6764261998188953,0.04829459704195593,0.8991683991683992,0.10083160083160084,0.9285495246856792,0.014412756823060409,0.021159153633854646,0.02943882244710212,0.006439742410303588,0.7950036737692873,0.07861866274797942,0.06098457016899339,0.002939015429831007,0.01396032329169728,2885.1797729129257,7472.580989687202
12,06,001,450607,1400000US06001450607,06001450607,4506.07,CT,4826715,0,"Census Tract 4506.07, Alameda County, California",5971,2832,324,1726,804,6,1,450607,1837.0,96061.0,2445,883,1562,5905,4735,715,254,201,0,3315,2316,440,193,71,114,2018,06001450607,0.4742924133311003,0.054262267626863175,0.28906380840730195,0.13465081225925304,0.36114519427402864,0.6388548057259714,0.8018628281117697,0.12108382726502966,0.04301439458086368,0.034038950042337,0.0,0.6986425339366515,0.13273001508295626,0.058220211161387626,0.021417797888386124,0.034389140271493215,1237.0732475399936,3204.004866249613
13,06,001,451503,1400000US06001451503,06001451503,4515.03,CT,2674110,0,"Census Tract 4515.03, Alameda County, California",6158,3759,65,751,1204,6,1,451503,1208.0,127610.0,2200,1669,531,6100,5248,724,77,11,40,3161,2467,356,104,25,55,2018,06001451503,0.6104254628126015,0.01055537512179279,0.12195518025332902,0.1955180253329003,0.7586363636363637,0.2413636363636364,0.860327868852459,0.11868852459016395,0.012622950819672131,0.0018032786885245906,0.006557377049180328,0.78044922492882,0.11262258778867447,0.032900980702309394,0.007908889591901298,0.017399557102182852,2302.822247401939,5964.281986904053
14,06,001,451704,1400000US06001451704,06001451704,4517.04,CT,2005359,0,"Census Tract 4517.04, Alameda County, California",4446,3184,71,374,583,6,1,451704,1856.0,126853.0,1670,1231,439,4367,4038,184,78,0,67,2293,1914,64,120,29,9,2018,06001451704,0.7161493477282951,0.015969410706252813,0.08412055780476832,0.13112910481331533,0.7371257485029941,0.262874251497006,0.9246622395237004,0.04213418822990611,0.017861231967025416,0.0,0.015342340279367988,0.8347143480157,0.02791103358046228,0.05233318796336677,0.012647187091146971,0.0039249890972525075,2217.0593893661935,5742.157213745769
15,06,001,400600,1400000US06001400600,06001400600,4006,CT,297856,0,"Census Tract 4006, Alameda County, California",1638,817,343,144,124,6,1,400600,1640.0,127232.0,657,283,374,1587,1221,152,146,68,0,1022,370,120,268,93,3,2018,06001400600,0.4987789987789988,0.2094017094017094,0.08791208791208792,0.0757020757020757,0.4307458143074581,0.5692541856925418,0.7693761814744802,0.09577819785759294,0.091997479521109,0.0428481411468179,0.0,0.3620352250489237,0.11741682974559685,0.2622309197651663,0.09099804305283757,0.0029354207436399216,5499.301675977654,14243.12534916201
16,06,001,400900,1400000US06001400900,06001400900,4009,CT,420878,0,"Census Tract 4009, Alameda County, California",2471,1036,750,140,319,6,1,400900,1668.0,72632.0,1044,305,739,2451,2221,161,14,55,0,1364,758,94,291,83,61,2018,06001400900,0.4192634560906516,0.3035208417644678,0.056657223796034,0.12909753136382032,0.2921455938697318,0.7078544061302682,0.9061607507139944,0.065687474500204,0.005711954304365565,0.022439820481436147,0.0,0.5557184750733137,0.0689149560117302,0.21334310850439886,0.06085043988269795,0.04472140762463343,5871.060022144185,15205.975004633172
17,06,001,401400,1400000US06001401400,06001401400,4014,CT,758203,0,"Census Tract 4014, Alameda County, California",4331,1035,1425,549,864,6,1,401400,1275.0,39250.0,1576,298,1278,4324,3406,616,231,33,38,2259,1086,134,492,126,147,2018,06001401400,0.2389748326021704,0.32902332024936504,0.1267605633802817,0.1994920341722466,0.18908629441624367,0.8109137055837563,0.7876965772432932,0.14246068455134134,0.053422756706753005,0.007631822386679001,0.008788159111933395,0.4807436918990704,0.05931828242585215,0.21779548472775564,0.055776892430278883,0.0650730411686587,5712.190534724869,14794.504938650995
18,06,001,403000,1400000US06001403000,06001403000,4030,CT,352394,0,"Census Tract 4030, Alameda County, California",2969,168,115,2424,88,6,1,403000,879.0,24699.0,1463,460,1003,2969,2586,237,61,0,85,1099,410,0,420,0,254,2018,06001403000,0.056584708656113175,0.03873358033007747,0.8164365106096328,0.029639609296059282,0.3144224196855776,0.6855775803144224,0.8710003368137421,0.07982485685415965,0.02054563826204109,0.0,0.028629168070057262,0.3730664240218381,0.0,0.3821656050955414,0.0,0.2311191992720655,8425.228579374223,21821.240917836287
19,06,001,403100,1400000US06001403100,06001403100,4031,CT,346852,0,"Census Tract 4031, Alameda County, California",1668,376,303,677,262,6,1,403100,950.0,66000.0,638,197,441,1642,1173,275,117,58,19,726,261,33,282,6,98,2018,06001403100,0.2254196642685851,0.1816546762589928,0.4058752997601918,0.15707434052757793,0.30877742946708464,0.6912225705329154,0.7143727161997564,0.16747868453105969,0.0712545676004872,0.03532277710109622,0.011571254567600487,0.359504132231405,0.045454545454545456,0.3884297520661157,0.008264462809917356,0.1349862258953168,4808.967513521618,12455.168152410826
20,06,001,403702,1400000US06001403702,06001403702,4037.02,CT,199100,0,"Census Tract 4037.02, Alameda County, California",1898,994,269,330,192,6,1,403702,1713.0,85821.0,1091,227,864,1887,1752,0,74,43,18,1390,477,125,416,56,117,2018,06001403702,0.523709167544784,0.1417281348788198,0.17386722866174922,0.10115911485774501,0.2080659945004583,0.7919340054995417,0.9284578696343402,0.0,0.0392156862745098,0.02278749337572867,0.009538950715421305,0.3431654676258993,0.08992805755395683,0.2992805755395683,0.040287769784172665,0.0841726618705036,9532.898041185334,24690.091531893522
21,06,001,405200,1400000US06001405200,06001405200,4052,CT,858122,0,"Census Tract 4052, Alameda County, California",5188,1871,456,1564,991,6,1,405200,1548.0,86307.0,2427,658,1769,5132,4581,263,210,44,34,3308,1652,420,708,171,80,2018,06001405200,0.36063993831919816,0.08789514263685427,0.3014649190439476,0.191017733230532,0.27111660486196953,0.7288833951380305,0.892634450506625,0.05124707716289945,0.04091971940763835,0.00857365549493375,0.0066250974279033524,0.4993954050785974,0.12696493349455865,0.2140266021765417,0.05169286577992745,0.02418379685610641,6045.760393044346,15658.44686886014
