NAME,c_tenants,c_renters,c_rentcash,c_rent100,c_rent149,c_rent199,c_rent249,c_rent299,c_rent349,c_rent399,c_rent449,c_rent499,c_rent549,c_rent599,c_rent649,c_rent699,c_rent749,c_rent799,c_rent899,c_rent999,c_rent1249,c_rent1499,c_rent1999,c_rent2499,c_rent2999,c_rent3499,c_rent3500,med_rent,med_hhinc,year,state_fips,county_fips,tract_fips,FIPS_11_digit
"Census Tract 166.06, San Diego County, California",1282,329,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,88,114,26,0,0,1861.0,105024.0,2018,06,073,016606,06073016606
"Census Tract 166.07, San Diego County, California",2352,596,596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,128,264,144,26,0,0,1758.0,87500.0,2018,06,073,016607,06073016607
"Census Tract 166.12, San Diego County, California",1996,406,406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,19,28,166,91,68,7,0,1889.0,94621.0,2018,06,073,016612,06073016612
"Census Tract 168.02, San Diego County, California",2610,211,211,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,43,48,0,34,0,0,52,1398.0,76210.0,2018,06,073,016802,06073016802
"Census Tract 168.06, San Diego County, California",1476,566,558,0,0,0,0,10,0,0,0,0,0,7,34,0,37,6,20,0,99,104,213,28,0,0,0,1409.0,61310.0,2018,06,073,016806,06073016806
"Census Tract 170.30, San Diego County, California",7884,2549,2549,0,0,0,32,45,0,0,0,141,0,0,0,0,0,0,0,104,385,467,404,550,76,221,124,1624.0,146299.0,2018,06,073,017030,06073017030
"Census Tract 170.31, San Diego County, California",1401,460,438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,189,138,92,0,0,2040.0,96211.0,2018,06,073,017031,06073017031
"Census Tract 2342, Los Angeles County, California",1159,353,353,0,0,0,0,14,8,0,0,0,0,0,12,0,0,0,14,10,64,55,55,81,40,0,0,1498.0,64476.0,2018,06,037,234200,06037234200
"Census Tract 1439.01, Los Angeles County, California",1587,175,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,48,25,24,8,63,2656.0,208438.0,2018,06,037,143901,06037143901
"Census Tract 1832.20, Los Angeles County, California",1167,653,632,0,0,0,0,0,0,0,0,0,0,0,0,9,11,31,16,88,144,171,92,60,0,10,0,1275.0,56710.0,2018,06,037,183220,06037183220
"Census Tract 1851, Los Angeles County, California",2195,920,856,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,36,39,303,141,161,128,12,20,0,1310.0,101103.0,2018,06,037,185100,06037185100
"Census Tract 1853.20, Los Angeles County, California",832,561,539,0,0,0,0,0,18,13,5,50,14,0,0,12,24,7,54,67,24,96,103,52,0,0,0,1057.0,45600.0,2018,06,037,185320,06037185320
"Census Tract 1861, Los Angeles County, California",1864,630,603,0,0,0,0,23,7,0,0,0,6,0,0,0,0,8,10,52,134,155,122,36,40,0,10,1349.0,92738.0,2018,06,037,186100,06037186100
"Census Tract 2611.01, Los Angeles County, California",1347,138,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,6,6,0,25,68,0,3066.0,238125.0,2018,06,037,261101,06037261101
"Census Tract 2430, Los Angeles County, California",1332,524,500,0,0,0,0,0,0,16,6,0,0,0,0,0,0,0,11,0,87,97,243,40,0,0,0,1568.0,50619.0,2018,06,037,243000,06037243000
"Census Tract 2621, Los Angeles County, California",1141,131,71,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,18,0,0,0,0,15,22,4,2683.0,176875.0,2018,06,037,262100,06037262100
"Census Tract 2623.03, Los Angeles County, California",1111,65,60,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,12,0,0,0,0,23,,250001.0,2018,06,037,262303,06037262303
"Census Tract 2626.01, Los Angeles County, California",1359,131,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,8,116,3501.0,209625.0,2018,06,037,262601,06037262601
"Census Tract 4058, Los Angeles County, California",1620,589,551,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,57,149,204,132,0,0,0,1648.0,73459.0,2018,06,037,405800,06037405800
"Census Tract 5755, Los Angeles County, California",41,41,41,0,0,0,0,0,0,0,0,12,0,12,0,0,0,0,0,13,4,0,0,0,0,0,0,585.0,12135.0,2018,06,037,575500,06037575500
"Census Tract 4048.01, Los Angeles County, California",1929,1005,976,0,0,0,0,10,0,18,0,18,0,17,0,0,0,9,49,8,103,176,447,87,34,0,0,1589.0,51625.0,2018,06,037,404801,06037404801
"Census Tract 4050.02, Los Angeles County, California",667,220,179,0,0,0,7,0,0,0,0,0,0,5,0,0,0,0,0,3,62,74,25,3,0,0,0,1292.0,64181.0,2018,06,037,405002,06037405002
"Census Tract 4064.02, Los Angeles County, California",601,61,47,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,0,6,20,0,0,2208.0,113317.0,2018,06,037,406402,06037406402
"Census Tract 4068, Los Angeles County, California",1310,188,188,0,0,0,0,0,0,0,0,8,0,0,0,12,0,0,0,24,33,37,13,61,0,0,0,1365.0,85081.0,2018,06,037,406800,06037406800
"Census Tract 4070.01, Los Angeles County, California",1247,293,293,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,97,131,36,10,0,0,1616.0,72699.0,2018,06,037,407001,06037407001
"Census Tract 4808.04, Los Angeles County, California",1756,1253,1245,0,0,0,0,0,0,0,14,0,0,24,0,0,8,35,77,36,339,292,283,118,19,0,0,1327.0,61934.0,2018,06,037,480804,06037480804
"Census Tract 4631.01, Los Angeles County, California",812,346,316,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,38,66,34,73,82,19,0,0,1610.0,95341.0,2018,06,037,463101,06037463101
"Census Tract 4801.02, Los Angeles County, California",1482,617,518,0,0,0,0,0,0,0,0,0,0,12,0,0,21,13,6,8,128,92,156,70,12,0,0,1443.0,66210.0,2018,06,037,480102,06037480102
"Census Tract 4803.02, Los Angeles County, California",1789,1108,1108,0,0,0,0,40,10,5,0,31,0,9,0,10,0,9,0,35,319,205,263,164,0,8,0,1355.0,64028.0,2018,06,037,480302,06037480302
"Census Tract 4810.01, Los Angeles County, California",1486,978,932,0,0,0,0,0,0,0,0,8,25,30,7,11,0,20,80,11,131,214,231,88,32,17,27,1417.0,45000.0,2018,06,037,481001,06037481001
"Census Tract 4815, Los Angeles County, California",1527,453,420,0,0,0,0,0,0,0,0,0,0,17,0,0,0,5,16,11,53,147,61,99,11,0,0,1434.0,62344.0,2018,06,037,481500,06037481500
"Census Tract 4816.04, Los Angeles County, California",1350,949,912,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,32,61,309,241,140,107,14,0,0,1298.0,57262.0,2018,06,037,481604,06037481604
"Census Tract 4817.11, Los Angeles County, California",1433,1080,1013,0,0,0,0,9,6,7,0,7,7,36,0,0,0,20,5,25,238,402,179,15,57,0,0,1341.0,37328.0,2018,06,037,481711,06037481711
"Census Tract 4819.01, Los Angeles County, California",1936,668,579,0,0,0,0,0,0,0,0,0,0,11,0,8,0,0,0,60,46,123,180,142,0,9,0,1615.0,84792.0,2018,06,037,481901,06037481901
"Census Tract 4821.01, Los Angeles County, California",1468,674,649,0,0,0,0,0,0,7,8,0,32,17,0,0,18,0,18,31,216,123,121,32,26,0,0,1224.0,58255.0,2018,06,037,482101,06037482101
"Census Tract 4822.01, Los Angeles County, California",1229,736,676,0,0,0,6,0,0,0,27,6,0,0,16,0,14,0,21,27,151,142,202,41,23,0,0,1373.0,42202.0,2018,06,037,482201,06037482201
"Census Tract 4822.02, Los Angeles County, California",1521,831,810,0,0,0,0,0,0,0,9,12,0,21,0,0,65,0,23,22,114,238,251,55,0,0,0,1396.0,50407.0,2018,06,037,482202,06037482202
"Census Tract 4825.03, Los Angeles County, California",1056,722,704,0,0,0,0,0,0,0,23,0,0,20,8,0,0,24,22,24,94,260,119,55,25,17,13,1382.0,57121.0,2018,06,037,482503,06037482503
"Census Tract 4827.01, Los Angeles County, California",1276,562,524,0,0,0,0,0,9,0,0,0,0,0,5,0,9,0,9,6,146,182,131,27,0,0,0,1357.0,68125.0,2018,06,037,482701,06037482701
"Census Tract 5004.02, Los Angeles County, California",1170,665,656,0,24,0,0,0,0,0,0,0,0,7,0,23,0,30,52,46,137,169,136,22,10,0,0,1263.0,43906.0,2018,06,037,500402,06037500402
"Census Tract 5021, Los Angeles County, California",1595,579,561,0,0,25,9,0,0,0,0,0,26,0,0,0,0,38,24,63,154,39,103,60,0,20,0,1155.0,61414.0,2018,06,037,502100,06037502100
"Census Tract 5033.02, Los Angeles County, California",1819,726,721,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,18,153,265,148,105,3,19,0,1419.0,75853.0,2018,06,037,503302,06037503302
"Census Tract 1012.10, Los Angeles County, California",2321,1984,1909,0,0,0,0,32,13,0,19,0,17,0,33,32,34,25,59,98,448,530,377,121,71,0,0,1318.0,32119.0,2018,06,037,101210,06037101210
"Census Tract 1060.10, Los Angeles County, California",945,255,242,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,16,88,12,54,70,0,0,2028.0,71806.0,2018,06,037,106010,06037106010
"Census Tract 1060.20, Los Angeles County, California",1475,260,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,67,60,14,82,19,0,1913.0,75038.0,2018,06,037,106020,06037106020
"Census Tract 1061.11, Los Angeles County, California",1326,158,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,53,62,8,0,2528.0,93198.0,2018,06,037,106111,06037106111
"Census Tract 1061.14, Los Angeles County, California",1592,888,855,0,0,0,0,0,11,0,0,0,0,0,0,18,0,0,28,57,209,248,227,57,0,0,0,1355.0,54363.0,2018,06,037,106114,06037106114
"Census Tract 1066.42, Los Angeles County, California",1025,55,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,2,0,0,23,3501.0,106179.0,2018,06,037,106642,06037106642
"Census Tract 2037.10, Los Angeles County, California",819,611,611,0,0,0,0,0,0,0,23,0,0,27,21,19,34,0,53,80,178,75,101,0,0,0,0,1068.0,40640.0,2018,06,037,203710,06037203710
"Census Tract 2095.10, Los Angeles County, California",1021,989,977,6,0,0,13,19,0,0,12,11,23,3,16,34,51,93,85,96,284,89,106,25,0,0,11,1023.0,27740.0,2018,06,037,209510,06037209510
"Census Tract 2123.04, Los Angeles County, California",805,801,787,0,4,0,24,9,4,0,13,0,11,0,2,12,50,55,169,83,203,67,81,0,0,0,0,949.0,29479.0,2018,06,037,212304,06037212304
"Census Tract 2182.20, Los Angeles County, California",1500,1042,1042,0,0,0,0,8,36,0,0,0,0,0,18,10,39,21,54,35,171,289,235,65,39,0,22,1362.0,47700.0,2018,06,037,218220,06037218220
"Census Tract 2222, Los Angeles County, California",1198,936,936,0,0,0,0,25,0,0,11,0,10,44,8,0,51,46,118,120,154,121,149,79,0,0,0,1057.0,36852.0,2018,06,037,222200,06037222200
"Census Tract 2281, Los Angeles County, California",1039,691,691,0,0,0,0,0,0,0,0,0,32,0,22,0,0,27,81,40,138,254,97,0,0,0,0,1255.0,46278.0,2018,06,037,228100,06037228100
"Census Tract 2324, Los Angeles County, California",1926,1027,936,0,0,0,0,28,0,0,0,66,11,21,0,16,22,51,26,86,129,223,165,57,16,19,0,1263.0,45132.0,2018,06,037,232400,06037232400
"Census Tract 2413, Los Angeles County, California",721,367,367,0,0,0,11,0,0,0,9,18,16,11,0,12,0,5,78,71,19,56,27,20,14,0,0,933.0,44583.0,2018,06,037,241300,06037241300
"Census Tract 4811.03, Los Angeles County, California",1397,713,648,0,0,0,0,0,0,0,51,0,9,9,0,0,0,0,7,80,119,119,127,127,0,0,0,1353.0,61506.0,2018,06,037,481103,06037481103
"Census Tract 5001, Los Angeles County, California",1349,70,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,37,8,0,0,0,1682.0,114632.0,2018,06,037,500100,06037500100
"Census Tract 9200.38, Los Angeles County, California",1600,960,949,0,0,0,0,0,0,0,0,10,0,12,0,8,37,0,0,75,97,207,437,50,16,0,0,1533.0,53100.0,2018,06,037,920038,06037920038
"Census Tract 4800.02, Los Angeles County, California",1116,196,195,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,33,14,5,54,54,26,0,2338.0,108095.0,2018,06,037,480002,06037480002
"Census Tract 6024.04, Los Angeles County, California",1841,1548,1531,0,8,0,0,0,0,0,0,9,8,0,8,18,0,40,58,178,425,392,342,39,0,6,0,1259.0,43429.0,2018,06,037,602404,06037602404
"Census Tract 5007, Los Angeles County, California",1757,408,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,87,66,89,117,0,0,0,1596.0,76188.0,2018,06,037,500700,06037500700
"Census Tract 6704.05, Los Angeles County, California",1110,232,195,0,0,0,0,0,0,20,6,0,0,0,0,16,0,0,25,0,0,0,24,6,44,22,32,2506.0,102941.0,2018,06,037,670405,06037670405
"Census Tract 6013.02, Los Angeles County, California",2850,2367,2367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,139,786,755,574,77,0,0,0,1324.0,47944.0,2018,06,037,601302,06037601302
"Census Tract 7028.03, Los Angeles County, California",1226,822,814,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,5,40,193,71,281,125,9,0,67,1633.0,68643.0,2018,06,037,702803,06037702803
"Census Tract 9008.06, Los Angeles County, California",2010,1810,1777,0,0,0,26,54,149,44,20,43,75,182,83,91,104,45,164,238,238,127,45,49,0,0,0,769.0,21587.0,2018,06,037,900806,06037900806
"Census Tract 2715, Los Angeles County, California",1381,687,687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,10,70,260,138,63,10,75,1889.0,94330.0,2018,06,037,271500,06037271500
"Census Tract 2772, Los Angeles County, California",974,867,867,0,0,0,0,0,0,0,0,27,0,0,0,12,0,0,13,0,97,142,429,139,0,8,0,1666.0,59186.0,2018,06,037,277200,06037277200
"Census Tract 2014.01, Los Angeles County, California",1369,732,711,0,0,0,22,0,0,0,24,9,28,17,0,10,9,20,114,14,188,79,123,54,0,0,0,1118.0,43681.0,2018,06,037,201401,06037201401
"Census Tract 2122.02, Los Angeles County, California",1215,1197,1197,10,0,0,9,29,0,0,0,27,0,33,49,54,104,20,194,43,130,230,247,18,0,0,0,1051.0,36236.0,2018,06,037,212202,06037212202
"Census Tract 4325, Los Angeles County, California",2396,1039,1039,0,0,0,0,52,59,0,0,15,0,18,0,18,0,34,0,127,125,324,217,50,0,0,0,1305.0,65143.0,2018,06,037,432500,06037432500
"Census Tract 4338.02, Los Angeles County, California",955,282,244,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,21,5,48,20,101,37,0,0,0,1579.0,70179.0,2018,06,037,433802,06037433802
"Census Tract 4629, Los Angeles County, California",1336,342,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,36,44,49,93,5,16,2250.0,119643.0,2018,06,037,462900,06037462900
"Census Tract 4043.02, Los Angeles County, California",572,222,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,17,39,124,12,0,0,0,1631.0,73452.0,2018,06,037,404302,06037404302
"Census Tract 4334.02, Los Angeles County, California",1154,707,707,0,0,0,0,0,0,0,0,0,15,0,14,9,6,0,26,66,263,143,165,0,0,0,0,1207.0,46094.0,2018,06,037,433402,06037433402
"Census Tract 4610, Los Angeles County, California",1661,591,531,0,0,0,0,0,8,0,0,0,0,0,0,28,0,0,7,29,67,100,169,83,40,0,0,1578.0,58866.0,2018,06,037,461000,06037461000
"Census Tract 4807.02, Los Angeles County, California",1626,487,479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,128,130,109,44,0,20,1744.0,152500.0,2018,06,037,480702,06037480702
"Census Tract 5303.02, Los Angeles County, California",1867,970,943,0,0,0,0,0,0,0,0,0,21,10,10,6,30,68,126,216,184,190,82,0,0,0,0,993.0,52340.0,2018,06,037,530302,06037530302
"Census Tract 5404, Los Angeles County, California",493,256,250,0,0,0,0,0,0,0,0,4,0,8,34,0,9,0,6,56,27,11,72,23,0,0,0,1074.0,48988.0,2018,06,037,540400,06037540400
"Census Tract 5418.01, Los Angeles County, California",1325,752,715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,96,263,159,105,60,0,0,0,1218.0,47768.0,2018,06,037,541801,06037541801
"Census Tract 5422, Los Angeles County, California",1623,665,665,0,0,0,26,0,0,0,0,9,0,0,0,0,0,15,76,203,107,37,164,28,0,0,0,1008.0,45985.0,2018,06,037,542200,06037542200
"Census Tract 5424.02, Los Angeles County, California",773,244,244,0,5,0,0,0,0,0,0,0,0,6,0,0,0,0,35,0,96,27,30,45,0,0,0,1198.0,61849.0,2018,06,037,542402,06037542402
"Census Tract 5427, Los Angeles County, California",1372,457,457,0,0,0,0,0,0,0,0,0,11,0,11,0,11,24,24,28,82,74,160,32,0,0,0,1377.0,64118.0,2018,06,037,542700,06037542700
"Census Tract 5433.05, Los Angeles County, California",1042,106,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,82,0,8,0,0,0,0,1113.0,63722.0,2018,06,037,543305,06037543305
"Census Tract 5435.01, Los Angeles County, California",2093,1023,973,0,0,0,0,0,61,33,0,15,57,0,0,52,19,36,0,69,231,177,103,80,40,0,0,1156.0,61997.0,2018,06,037,543501,06037543501
"Census Tract 5439.03, Los Angeles County, California",1122,199,199,0,0,0,0,0,0,0,0,19,0,0,0,8,0,0,0,13,19,8,50,36,30,16,0,1825.0,73403.0,2018,06,037,543903,06037543903
"Census Tract 5500, Los Angeles County, California",153,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9,4,0,0,0,1491.0,83125.0,2018,06,037,550000,06037550000
"Census Tract 1347.20, Los Angeles County, California",1615,815,788,0,0,0,0,0,0,0,0,0,0,0,19,7,10,0,0,19,218,122,212,129,47,5,0,1498.0,63510.0,2018,06,037,134720,06037134720
"Census Tract 1372.01, Los Angeles County, California",2333,1328,1328,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,108,118,645,377,57,0,0,1822.0,75988.0,2018,06,037,137201,06037137201
"Census Tract 1375.02, Los Angeles County, California",1833,680,671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,42,122,135,100,81,112,2343.0,99836.0,2018,06,037,137502,06037137502
"Census Tract 1375.04, Los Angeles County, California",694,18,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,9,3501.0,158500.0,2018,06,037,137504,06037137504
"Census Tract 1397.02, Los Angeles County, California",2200,156,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,92,3501.0,202471.0,2018,06,037,139702,06037139702
"Census Tract 1435, Los Angeles County, California",2310,1367,1346,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,41,150,98,316,438,159,36,97,2065.0,91563.0,2018,06,037,143500,06037143500
"Census Tract 1814, Los Angeles County, California",1585,1123,1066,0,0,0,0,0,0,0,0,0,33,0,0,0,0,19,27,76,155,235,405,84,0,19,13,1487.0,57382.0,2018,06,037,181400,06037181400
"Census Tract 1894, Los Angeles County, California",1645,664,664,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,20,76,44,202,111,73,41,85,1946.0,159609.0,2018,06,037,189400,06037189400
"Census Tract 1852.02, Los Angeles County, California",1386,718,677,0,0,0,0,9,0,0,0,0,0,0,19,0,0,11,37,88,99,132,136,70,76,0,0,1393.0,63545.0,2018,06,037,185202,06037185202
"Census Tract 1883, Los Angeles County, California",1425,773,736,0,0,0,0,0,27,0,0,0,0,0,9,9,9,31,9,0,116,132,146,126,59,32,31,1589.0,99375.0,2018,06,037,188300,06037188300
"Census Tract 1899.02, Los Angeles County, California",3025,2916,2798,0,0,0,0,82,40,0,10,42,13,33,0,0,0,0,56,14,343,519,861,507,270,8,0,1643.0,56378.0,2018,06,037,189902,06037189902
"Census Tract 83.01, San Bernardino County, California",2193,964,926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,26,207,114,426,104,13,0,13,1609.0,70536.0,2018,06,071,008301,06071008301
"Census Tract 83.02, San Bernardino County, California",1184,123,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,73,7,0,0,2171.0,118088.0,2018,06,071,008302,06071008302
"Census Tract 1.05, San Bernardino County, California",1893,603,567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,26,40,186,208,58,34,4,2049.0,117852.0,2018,06,071,000105,06071000105
"Census Tract 1.07, San Bernardino County, California",968,202,202,11,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,17,103,48,13,0,0,1806.0,103500.0,2018,06,071,000107,06071000107
"Census Tract 418.13, Riverside County, California",2067,942,905,0,0,0,0,0,0,23,10,0,0,0,9,6,22,16,0,77,218,223,191,36,47,27,0,1330.0,43942.0,2018,06,065,041813,06065041813
"Census Tract 2.01, San Bernardino County, California",1616,1153,1134,0,0,0,18,37,0,14,7,0,0,66,0,0,0,0,45,9,238,60,385,239,16,0,0,1595.0,56848.0,2018,06,071,000201,06071000201
"Census Tract 26.01, San Bernardino County, California",2330,668,565,0,0,0,15,0,0,0,0,0,0,0,0,0,0,9,0,11,142,151,112,41,54,30,0,1425.0,73088.0,2018,06,071,002601,06071002601
"Census Tract 30, San Bernardino County, California",1122,866,866,0,0,0,0,8,0,0,0,30,59,184,64,28,15,73,44,102,97,52,99,11,0,0,0,781.0,27794.0,2018,06,071,003000,06071003000
"Census Tract 420.08, Riverside County, California",2318,280,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,71,15,0,0,0,1448.0,109139.0,2018,06,065,042008,06065042008
"Census Tract 422.06, Riverside County, California",2461,1708,1695,0,0,0,0,0,0,0,0,0,0,0,0,19,43,40,47,16,414,463,453,173,0,27,0,1395.0,63487.0,2018,06,065,042206,06065042206
"Census Tract 422.08, Riverside County, California",871,77,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,15,36,16,0,0,2229.0,123882.0,2018,06,065,042208,06065042208
"Census Tract 424.06, Riverside County, California",1211,366,336,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0,0,51,114,120,21,15,0,0,1474.0,65417.0,2018,06,065,042406,06065042406
"Census Tract 424.07, Riverside County, California",821,222,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,28,28,139,13,0,0,0,1662.0,70991.0,2018,06,065,042407,06065042407
"Census Tract 425.06, Riverside County, California",2562,1697,1682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,22,13,168,738,544,139,0,0,0,1446.0,54662.0,2018,06,065,042506,06065042506
"Census Tract 425.15, Riverside County, California",996,809,806,0,0,0,32,21,0,0,20,5,0,0,0,51,15,68,95,88,232,116,63,0,0,0,0,1009.0,36932.0,2018,06,065,042515,06065042515
"Census Tract 427.08, Riverside County, California",1432,446,438,0,0,0,0,12,0,15,8,0,0,0,0,0,0,54,8,0,72,8,182,79,0,0,0,1615.0,63990.0,2018,06,065,042708,06065042708
"Census Tract 429.04, Riverside County, California",2225,699,654,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,77,127,389,0,44,0,0,0,0,1068.0,43825.0,2018,06,065,042904,06065042904
"Census Tract 430.03, Riverside County, California",1845,1204,1198,16,0,0,5,53,17,21,7,0,28,0,0,0,0,0,8,89,490,302,153,9,0,0,0,1181.0,45847.0,2018,06,065,043003,06065043003
"Census Tract 433.08, Riverside County, California",951,671,640,0,0,0,12,4,0,0,2,0,6,5,36,67,55,51,107,101,110,38,41,5,0,0,0,877.0,37566.0,2018,06,065,043308,06065043308
"Census Tract 433.12, Riverside County, California",1216,570,561,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,10,140,137,35,216,0,0,0,0,1196.0,47576.0,2018,06,065,043312,06065043312
"Census Tract 434.05, Riverside County, California",1887,911,911,0,0,0,17,110,20,26,7,12,23,29,108,30,10,55,208,26,174,44,12,0,0,0,0,804.0,22226.0,2018,06,065,043405,06065043405
"Census Tract 435.06, Riverside County, California",2034,435,435,0,0,0,0,0,0,0,0,0,36,44,0,0,0,74,0,43,101,6,131,0,0,0,0,1051.0,47977.0,2018,06,065,043506,06065043506
"Census Tract 437.01, Riverside County, California",1491,295,279,0,0,0,0,0,0,0,0,8,8,0,0,26,17,26,41,30,63,41,7,0,0,12,0,945.0,43625.0,2018,06,065,043701,06065043701
"Census Tract 424.01, Riverside County, California",560,76,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,38,18,4,8,0,1895.0,103889.0,2018,06,065,042401,06065042401
"Census Tract 424.08, Riverside County, California",828,187,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,26,15,37,24,64,5,0,0,0,1297.0,76029.0,2018,06,065,042408,06065042408
"Census Tract 432.06, Riverside County, California",2567,1588,1572,0,0,0,15,16,18,0,16,46,0,0,30,0,20,93,111,56,210,206,483,151,61,40,0,1438.0,65983.0,2018,06,065,043206,06065043206
"Census Tract 433.07, Riverside County, California",2351,1086,1086,0,0,0,0,10,0,0,0,32,0,0,55,57,42,10,88,153,322,170,58,0,58,31,0,1075.0,36647.0,2018,06,065,043307,06065043307
"Census Tract 433.09, Riverside County, California",855,549,544,0,0,0,0,4,0,0,6,0,0,48,11,15,16,20,106,73,102,68,60,15,0,0,0,963.0,34508.0,2018,06,065,043309,06065043309
"Census Tract 433.11, Riverside County, California",722,255,251,0,0,0,0,0,0,0,0,0,0,0,4,19,0,0,17,31,33,41,73,0,33,0,0,1381.0,47500.0,2018,06,065,043311,06065043311
"Census Tract 434.04, Riverside County, California",1327,552,445,0,0,0,0,5,34,0,0,0,9,0,16,0,6,0,37,124,158,42,0,0,0,14,0,993.0,27868.0,2018,06,065,043404,06065043404
"Census Tract 307, Riverside County, California",2027,924,891,0,0,0,0,0,0,0,0,0,0,0,0,14,31,0,113,66,198,117,259,26,67,0,0,1300.0,72423.0,2018,06,065,030700,06065030700
"Census Tract 313, Riverside County, California",634,208,189,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,8,39,54,27,56,0,0,0,0,1197.0,52679.0,2018,06,065,031300,06065031300
"Census Tract 32.01, Fresno County, California",1469,799,799,0,0,11,0,0,0,0,0,13,0,0,37,30,32,135,98,53,122,243,15,10,0,0,0,982.0,49842.0,2018,06,019,003201,06019003201
"Census Tract 55.04, Fresno County, California",1107,226,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,61,93,53,0,0,0,1712.0,84293.0,2018,06,019,005504,06019005504
"Census Tract 45.06, Fresno County, California",1488,445,410,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,34,107,167,52,19,0,22,0,0,1082.0,78438.0,2018,06,019,004506,06019004506
"Census Tract 50, Fresno County, California",1501,814,770,0,0,0,0,0,0,0,0,22,0,24,23,0,0,25,48,113,225,186,24,80,0,0,0,1144.0,51594.0,2018,06,019,005000,06019005000
"Census Tract 55.14, Fresno County, California",1348,426,408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,44,111,85,0,0,77,1811.0,101179.0,2018,06,019,005514,06019005514
"Census Tract 64.02, Fresno County, California",1100,215,148,0,3,2,5,3,0,1,6,0,2,2,0,1,10,15,42,9,23,9,13,0,2,0,0,857.0,72925.0,2018,06,019,006402,06019006402
"Census Tract 70.02, Fresno County, California",1398,837,810,32,0,0,0,52,0,19,0,22,0,0,40,24,41,96,134,114,140,13,83,0,0,0,0,859.0,37018.0,2018,06,019,007002,06019007002
