NAME,c_tenants,c_renters,c_rentcash,c_rent100,c_rent149,c_rent199,c_rent249,c_rent299,c_rent349,c_rent399,c_rent449,c_rent499,c_rent549,c_rent599,c_rent649,c_rent699,c_rent749,c_rent799,c_rent899,c_rent999,c_rent1249,c_rent1499,c_rent1999,c_rent2499,c_rent2999,c_rent3499,c_rent3500,med_rent,med_hhinc,year,state_fips,county_fips,tract_fips,FIPS_11_digit
"Census Tract 302, El Dorado County, California",1884,1052,1008,0,0,0,0,0,14,21,0,18,33,79,0,18,52,66,107,59,221,76,198,15,14,17,0,1042.0,55975.0,2018,06,017,030200,06017030200
"Census Tract 307.01, El Dorado County, California",2119,256,256,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,149,42,15,36,0,1883.0,128484.0,2018,06,017,030701,06017030701
"Census Tract 309.01, El Dorado County, California",1200,162,114,0,0,0,0,0,0,0,0,0,0,8,0,9,0,0,0,0,25,0,39,0,33,0,0,1692.0,86500.0,2018,06,017,030901,06017030901
"Census Tract 314.02, El Dorado County, California",2360,353,290,0,0,0,0,0,0,0,0,0,0,0,0,0,48,4,0,0,68,96,68,6,0,0,0,1315.0,53214.0,2018,06,017,031402,06017031402
"Census Tract 310, El Dorado County, California",2366,918,892,0,0,0,0,22,0,0,13,0,0,0,12,17,0,24,115,93,157,270,77,92,0,0,0,1239.0,63750.0,2018,06,017,031000,06017031000
"Census Tract 2002.02, Napa County, California",1108,759,736,9,0,0,0,9,32,26,8,30,0,0,27,0,0,0,9,85,180,119,184,18,0,0,0,1185.0,55125.0,2018,06,055,200202,06055200202
"Census Tract 2004, Napa County, California",1550,571,516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,67,208,103,41,11,32,1829.0,100202.0,2018,06,055,200400,06055200400
"Census Tract 2009, Napa County, California",37,37,37,0,0,0,0,0,8,12,0,0,0,7,0,0,0,0,6,4,0,0,0,0,0,0,0,394.0,6953.0,2018,06,055,200900,06055200900
"Census Tract 61.01, Sacramento County, California",2045,1263,1251,0,0,0,0,0,0,11,14,0,0,33,150,38,78,83,208,101,127,222,160,26,0,0,0,910.0,40733.0,2018,06,067,006101,06067006101
"Census Tract 61.02, Sacramento County, California",1628,1259,1259,0,0,0,9,0,0,0,0,26,30,48,0,7,52,65,283,209,362,60,67,27,7,0,7,952.0,33194.0,2018,06,067,006102,06067006102
"Census Tract 69, Sacramento County, California",2057,1386,1309,0,0,0,22,25,48,14,0,0,62,20,121,77,128,68,265,138,125,71,125,0,0,0,0,826.0,27663.0,2018,06,067,006900,06067006900
"Census Tract 81.37, Sacramento County, California",929,552,537,0,0,0,4,0,0,0,0,5,0,0,0,6,6,4,81,82,162,96,77,0,14,0,0,1124.0,54745.0,2018,06,067,008137,06067008137
"Census Tract 82.10, Sacramento County, California",2692,510,480,0,0,0,0,0,0,0,0,0,0,0,30,16,0,13,17,0,0,184,131,68,11,0,10,1473.0,94853.0,2018,06,067,008210,06067008210
"Census Tract 84.04, Sacramento County, California",1574,814,781,0,0,0,12,34,11,0,0,0,36,0,0,73,19,19,116,42,148,82,145,44,0,0,0,1048.0,60870.0,2018,06,067,008404,06067008404
"Census Tract 87.02, Sacramento County, California",1176,34,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,7,0,9,8,0,2250.0,122000.0,2018,06,067,008702,06067008702
"Census Tract 89.05, Sacramento County, California",1590,701,665,0,0,0,12,0,0,14,0,9,0,0,16,11,7,29,109,99,93,91,115,40,7,0,13,1071.0,68889.0,2018,06,067,008905,06067008905
"Census Tract 89.08, Sacramento County, California",1998,880,870,0,0,0,9,20,0,0,9,0,0,0,0,0,0,23,89,175,258,216,62,9,0,0,0,1107.0,48846.0,2018,06,067,008908,06067008908
"Census Tract 42.02, Sacramento County, California",1715,787,760,33,0,0,0,0,0,4,0,0,10,51,42,37,51,9,135,31,33,135,176,13,0,0,0,926.0,45402.0,2018,06,067,004202,06067004202
"Census Tract 89.10, Sacramento County, California",1304,578,565,0,0,0,0,0,0,0,0,0,6,0,0,0,7,8,39,119,69,154,163,0,0,0,0,1306.0,60938.0,2018,06,067,008910,06067008910
"Census Tract 2, Sacramento County, California",1782,488,478,0,0,0,0,0,10,0,0,0,0,10,0,0,9,0,10,31,82,62,171,76,17,0,0,1573.0,107134.0,2018,06,067,000200,06067000200
"Census Tract 4, Sacramento County, California",2273,1689,1656,0,0,0,22,12,0,13,0,0,0,0,23,24,95,123,258,171,428,287,200,0,0,0,0,1051.0,67924.0,2018,06,067,000400,06067000400
"Census Tract 42.03, Sacramento County, California",1575,1007,1007,0,0,29,9,8,62,22,0,27,34,24,8,44,60,33,119,32,199,202,90,5,0,0,0,977.0,38295.0,2018,06,067,004203,06067004203
"Census Tract 43, Sacramento County, California",2453,1309,1297,0,0,53,0,56,15,0,0,12,0,0,0,0,81,0,57,0,141,283,529,70,0,0,0,1456.0,46190.0,2018,06,067,004300,06067004300
"Census Tract 52.02, Sacramento County, California",1467,559,539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,181,156,118,25,0,0,0,1297.0,86422.0,2018,06,067,005202,06067005202
"Census Tract 55.05, Sacramento County, California",2200,1681,1622,0,0,0,0,0,0,0,42,10,23,43,103,71,161,141,56,328,469,101,38,36,0,0,0,949.0,31309.0,2018,06,067,005505,06067005505
"Census Tract 83.24, San Diego County, California",2903,926,926,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,79,271,119,226,136,83,2424.0,166383.0,2018,06,073,008324,06073008324
"Census Tract 83.39, San Diego County, California",819,655,655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,18,3,0,81,313,215,16,4,0,1852.0,77039.0,2018,06,073,008339,06073008339
"Census Tract 83.47, San Diego County, California",2180,422,422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,9,83,182,54,40,46,2305.0,112368.0,2018,06,073,008347,06073008347
