NAME,c_tenants,c_renters,c_rentcash,c_rent100,c_rent149,c_rent199,c_rent249,c_rent299,c_rent349,c_rent399,c_rent449,c_rent499,c_rent549,c_rent599,c_rent649,c_rent699,c_rent749,c_rent799,c_rent899,c_rent999,c_rent1249,c_rent1499,c_rent1999,c_rent2000,med_rent,med_hhinc,state_fips,county_fips,tract_fips,year,FIPS_11_digit
"Census Tract 424.11, Riverside County, California",690,193,182,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,16,3,5,92,54500,1826.0,73750.0,06,065,042411,2018,06065042411
"Census Tract 424.12, Riverside County, California",1373,104,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,32,6,203900,2175.0,88641.0,06,065,042412,2018,06065042412
"Census Tract 1311, Los Angeles County, California",1046,107,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,21,482400,2234.0,68553.0,06,037,131100,2018,06037131100
"Census Tract 1329, Los Angeles County, California",1299,476,454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,70,122,89566126,2028.0,80202.0,06,037,132900,2018,06037132900
"Census Tract 1331, Los Angeles County, California",2017,1180,1156,0,0,0,0,128,0,27,26,0,0,0,15,0,0,10,24,28,242,177,236,108602154,1360.0,51417.0,06,037,133100,2018,06037133100
"Census Tract 1341.04, Los Angeles County, California",1441,767,767,0,0,0,29,0,0,0,0,0,0,9,0,0,0,10,61,0,142,192,224,3329317,1423.0,57355.0,06,037,134104,2018,06037134104
"Census Tract 2123.05, Los Angeles County, California",1046,1034,1034,0,0,0,11,33,0,0,0,20,0,26,23,25,22,92,106,111,231,133,107,573160,1052.0,36250.0,06,037,212305,2018,06037212305
"Census Tract 2126.20, Los Angeles County, California",1836,1687,1687,0,0,0,0,38,0,10,0,0,0,9,11,16,0,116,95,64,608,388,308,240,1199.0,39375.0,06,037,212620,2018,06037212620
"Census Tract 2133.20, Los Angeles County, California",1053,961,946,0,7,0,0,68,9,0,12,20,33,31,75,8,0,46,84,127,174,130,97,25000,963.0,26971.0,06,037,213320,2018,06037213320
"Census Tract 2147, Los Angeles County, California",1187,711,711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,37,71,94,187,1443634100,1889.0,105522.0,06,037,214700,2018,06037214700
"Census Tract 2168, Los Angeles County, California",1361,844,835,0,0,0,0,0,0,0,0,7,0,0,0,27,0,0,10,22,127,111,168,1301073987,1838.0,86895.0,06,037,216800,2018,06037216800
"Census Tract 2172, Los Angeles County, California",1618,1219,1195,0,0,0,0,35,0,0,20,9,48,0,8,0,6,0,19,97,136,184,352,12782963,1550.0,64222.0,06,037,217200,2018,06037217200
"Census Tract 2218.10, Los Angeles County, California",913,827,805,10,0,0,23,19,7,0,0,5,8,11,0,16,11,58,58,88,147,96,147,3535274,1151.0,20685.0,06,037,221810,2018,06037221810
"Census Tract 2221, Los Angeles County, California",1184,782,782,9,0,0,0,0,6,28,11,0,35,0,0,28,37,8,69,41,94,233,142,30110,1277.0,46429.0,06,037,222100,2018,06037222100
"Census Tract 2247, Los Angeles County, California",955,941,937,0,0,0,0,0,0,0,0,0,0,0,5,14,0,0,10,68,187,133,106,2095018137,1743.0,10802.0,06,037,224700,2018,06037224700
"Census Tract 2318, Los Angeles County, California",1388,1199,1191,8,0,0,0,8,0,0,0,9,0,12,0,58,85,33,185,101,256,173,197,3719010,1094.0,33602.0,06,037,231800,2018,06037231800
"Census Tract 2282.10, Los Angeles County, California",1020,742,720,0,0,9,12,17,9,18,0,0,8,9,7,27,0,46,85,85,120,148,107,13000,1058.0,34386.0,06,037,228210,2018,06037228210
"Census Tract 2312.10, Los Angeles County, California",1165,1000,992,0,24,0,20,25,0,12,56,0,0,17,70,24,17,9,125,148,108,182,105,50000,966.0,27608.0,06,037,231210,2018,06037231210
"Census Tract 2317.20, Los Angeles County, California",1521,1323,1323,0,0,0,0,142,63,27,9,0,10,0,18,35,9,38,90,127,379,197,118,362500,1062.0,34436.0,06,037,231720,2018,06037231720
"Census Tract 2323, Los Angeles County, California",1157,486,475,0,0,0,0,0,0,11,0,31,0,0,30,0,0,0,34,48,122,42,144,13000,1171.0,46654.0,06,037,232300,2018,06037232300
"Census Tract 2351, Los Angeles County, California",1695,401,372,0,0,0,0,0,0,0,0,0,0,7,8,0,9,8,33,37,89,13,28,855500,1236.0,80398.0,06,037,235100,2018,06037235100
"Census Tract 2377.10, Los Angeles County, California",1077,921,890,0,0,0,0,0,44,0,0,11,44,0,0,58,23,32,15,105,218,164,89,660210,1130.0,35262.0,06,037,237710,2018,06037237710
"Census Tract 210.03, Placer County, California",2499,1083,1054,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,28,0,98,118,545,133101012,1742.0,67648.0,06,061,021003,2018,06061021003
"Census Tract 211.06, Placer County, California",878,221,210,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,23,55,72,44390,1660.0,97784.0,06,061,021106,2018,06061021106
"Census Tract 211.08, Placer County, California",1281,489,489,0,0,0,0,41,24,8,0,24,0,0,0,17,23,17,8,28,70,138,64,141300,1195.0,58472.0,06,061,021108,2018,06061021108
"Census Tract 206.06, Placer County, California",1456,86,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3316207,2500.0,175313.0,06,061,020606,2018,06061020606
"Census Tract 215.01, Placer County, California",2278,644,629,0,0,0,0,0,0,0,0,0,0,0,0,69,42,0,0,46,113,147,145,67000,1326.0,68629.0,06,061,021501,2018,06061021501
"Census Tract 218.01, Placer County, California",1913,76,76,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,32,33,0,1461.0,95078.0,06,061,021801,2018,06061021801
"Census Tract 219.01, Placer County, California",1316,296,267,0,0,0,0,0,0,0,0,0,17,9,0,0,19,25,0,24,15,80,42,36000,1327.0,67823.0,06,061,021901,2018,06061021901
"Census Tract 214.01, Placer County, California",880,306,297,0,5,0,0,0,0,5,0,22,18,0,0,26,23,0,0,8,36,52,82,12800,1276.0,55000.0,06,061,021401,2018,06061021401
"Census Tract 215.02, Placer County, California",1455,342,331,0,0,0,0,0,0,0,0,0,0,11,18,0,5,0,0,34,80,41,114,28000,1357.0,88301.0,06,061,021502,2018,06061021502
"Census Tract 218.02, Placer County, California",2358,635,604,0,0,0,0,6,0,0,0,0,15,0,16,19,33,0,77,32,190,4,148,64000,1137.0,57762.0,06,061,021802,2018,06061021802
"Census Tract 28.14, Kern County, California",1500,987,956,0,7,0,0,0,0,0,9,0,0,10,28,15,64,171,234,154,171,39,47,70,874.0,35433.0,06,029,002814,2018,06029002814
"Census Tract 525.15, Orange County, California",3153,1617,1599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,68,-2147483648,2545.0,106540.0,06,059,052515,2018,06059052515
"Census Tract 525.17, Orange County, California",4417,2447,2397,0,0,0,0,0,0,0,0,0,0,35,40,0,0,0,0,12,74,152,527,-2147483648,2456.0,101370.0,06,059,052517,2018,06059052517
"Census Tract 525.18, Orange County, California",3614,3552,3536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13,846,-2147483648,2337.0,95089.0,06,059,052518,2018,06059052518
"Census Tract 525.26, Orange County, California",1367,315,272,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,18,57896337,2798.0,117165.0,06,059,052526,2018,06059052526
"Census Tract 31.08, San Diego County, California",1020,278,278,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,8,38,135,551900,1759.0,73750.0,06,073,003108,2018,06073003108
"Census Tract 32.07, San Diego County, California",2064,1033,1012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,81,160,458,310000,1786.0,85513.0,06,073,003207,2018,06073003207
"Census Tract 32.14, San Diego County, California",1610,538,538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,86,88,262,76600,1643.0,66500.0,06,073,003214,2018,06073003214
"Census Tract 34.03, San Diego County, California",1095,669,625,0,0,0,0,0,0,18,0,0,20,9,8,0,13,45,15,89,147,131,126,4000,1162.0,42652.0,06,073,003403,2018,06073003403
"Census Tract 36.03, San Diego County, California",1009,695,690,0,0,0,0,0,0,0,9,0,25,0,7,0,36,32,30,43,145,177,135,51000,1275.0,45402.0,06,073,003603,2018,06073003603
"Census Tract 40, San Diego County, California",1201,916,908,0,0,0,0,6,0,0,0,61,19,21,0,0,15,60,125,102,123,121,169,503600,1091.0,36168.0,06,073,004000,2018,06073004000
"Census Tract 49, San Diego County, California",1506,1171,1089,0,0,0,0,17,0,0,0,0,19,14,17,0,66,52,128,148,345,90,190,3000,1061.0,36280.0,06,073,004900,2018,06073004900
"Census Tract 55, San Diego County, California",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,06,073,005500,2018,06073005500
"Census Tract 63, San Diego County, California",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,06,073,006300,2018,06073006300
"Census Tract 68.02, San Diego County, California",2460,1852,1852,0,0,0,0,0,0,12,0,0,0,0,37,0,0,0,24,14,256,346,920,17916480,1629.0,73065.0,06,073,006802,2018,06073006802
"Census Tract 69, San Diego County, California",2155,719,719,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,25,0,0,89,204,249182954,1977.0,107768.0,06,073,006900,2018,06073006900
"Census Tract 73.01, San Diego County, California",2836,2144,2132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,368,536,896,149777716,1583.0,81607.0,06,073,007301,2018,06073007301
"Census Tract 74, San Diego County, California",3156,1752,1737,0,0,0,0,0,0,0,0,0,0,11,0,0,0,16,103,29,256,440,409,1962471416,1517.0,79423.0,06,073,007400,2018,06073007400
"Census Tract 75.01, San Diego County, California",2195,1804,1788,0,0,0,10,0,0,0,0,0,0,0,49,0,0,0,123,69,314,548,325,249691517,1400.0,66325.0,06,073,007501,2018,06073007501
"Census Tract 203.06, San Diego County, California",3424,1377,1321,0,0,0,0,0,0,0,0,0,46,0,0,16,0,19,0,0,19,99,421,454162787,2045.0,68386.0,06,073,020306,2018,06073020306
"Census Tract 204.03, San Diego County, California",1208,306,288,0,0,0,0,0,0,0,0,0,0,0,0,17,32,0,0,28,6,54,35,872900,1600.0,95254.0,06,073,020403,2018,06073020403
"Census Tract 204.05, San Diego County, California",1206,72,57,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,20,15,1500,1550.0,114205.0,06,073,020405,2018,06073020405
"Census Tract 206.02, San Diego County, California",1973,1106,1088,0,0,0,9,0,0,0,0,0,7,0,25,46,18,38,74,36,272,273,241,133600,1267.0,66655.0,06,073,020602,2018,06073020602
"Census Tract 207.05, San Diego County, California",1422,156,96,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,15,25,29000,1620.0,99559.0,06,073,020705,2018,06073020705
"Census Tract 207.08, San Diego County, California",1163,340,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,40,91,30,108,37900,1396.0,92467.0,06,073,020708,2018,06073020708
"Census Tract 208.05, San Diego County, California",1107,380,380,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,126,72,46,890729,1434.0,65160.0,06,073,020805,2018,06073020805
"Census Tract 208.09, San Diego County, California",1990,582,582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,201,83,17,1765500,1370.0,85064.0,06,073,020809,2018,06073020809
"Census Tract 132.05, San Diego County, California",632,377,351,0,0,0,0,0,0,0,0,0,0,0,11,7,0,0,6,27,55,123,78,44000,1391.0,37121.0,06,073,013205,2018,06073013205
"Census Tract 209.03, San Diego County, California",1210,250,205,5,0,0,0,5,0,0,23,4,14,0,26,6,7,3,13,0,69,6,1,23000,873.0,43274.0,06,073,020903,2018,06073020903
"Census Tract 210, San Diego County, California",1369,212,212,0,0,0,7,0,7,33,0,0,0,0,0,0,61,0,0,39,45,0,20,0,748.0,39761.0,06,073,021000,2018,06073021000
"Census Tract 131.02, San Diego County, California",2008,1336,1249,0,0,0,13,37,0,0,28,0,0,11,0,0,0,11,38,0,200,297,481,930400,1491.0,54891.0,06,073,013102,2018,06073013102
