APN_old,APN,address,project_name,jurisdiction_id,unit,tenure,date_submit,vli_dr,vli_ndr,li_dr,li_ndr,mi_dr,mi_ndr,ami,proposed,approved,disapproved,SB35,notes
,1521016A,487 23RD AV,,2018-013369PRJ,2 to 4,O,2018-09-24,0,0,0,0,0,0,1,1,1,0,No,
,3645012,3542 24TH ST,,2018-014512PRJ,ADU,R,2018-10-24,0,0,0,0,0,1,0,1,1,0,No,
,5378010,28 WATERVILLE ST,,2018-014528PRJ,ADU,R,2018-10-24,0,0,0,0,0,1,0,1,1,0,No,
,2026009,1735 23RD AV,,2018-014093PRJ,ADU,R,2018-10-15,0,0,0,0,0,1,0,1,1,0,No,
,2087036,4033 ORTEGA ST,,2018-015255PRJ,ADU,R,2018-11-07,0,0,0,0,0,1,0,1,1,0,No,
,2346035,645 SANTIAGO ST,,2018-013668PRJ,ADU,R,2018-10-09,0,0,0,0,0,1,0,1,1,0,No,
,5609027,55 FAIR AV,,2018-014526PRJ,ADU,R,2018-10-24,0,0,0,0,0,1,0,1,1,0,No,
,6480032,201 POPE ST,,2018-014993PRJ,ADU,R,2018-10-31,0,0,0,0,0,1,0,1,1,0,No,
,1812033,1446 42ND AV,,2018-013735PRJ,SFD,O,2018-10-10,0,0,0,0,0,0,1,1,1,0,No,
,1414012,263 19TH AV,,2018-013504PRJ,2 to 4,O,2018-09-26,0,0,0,0,0,0,1,1,1,0,No,
,2041015,1783 08TH AV,,2018-014415PRJ,ADU,R,2018-10-19,0,0,0,0,0,1,0,1,1,0,No,
,0520010,1750 FILBERT ST,,2018-013338PRJ,ADU,R,2018-10-09,0,0,0,0,0,1,0,1,1,0,No,
,4030031,655 KANSAS ST,,2018-014187PRJ,ADU,R,2018-10-17,0,0,0,0,0,1,0,1,1,0,No,
,3566004,352 DOLORES ST,,2018-014875PRJ,ADU,R,2018-05-31,0,0,0,0,0,1,0,1,1,0,No,
,0152032,1259 VALLEJO ST,,2018-013091PRJ,ADU,R,2018-08-22,0,0,0,0,0,1,0,1,1,0,No,
,4913010,1272 FITZGERALD AV,,2018-013236PRJ,ADU,R,2018-02-22,0,0,0,0,0,1,0,1,1,0,No,
,5904002,18 HARVARD ST,,2018-015364PRJ,ADU,R,2018-11-08,0,0,0,0,0,1,0,1,1,0,No,
,2302042,2242 48TH AV,,2018-009506PRJ,ADU,R,2018-09-21,0,0,0,0,0,1,0,1,1,0,No,
,5307004,1510 NEWCOMB AV,,2018-013617PRJ,ADU,R,2018-09-28,0,0,0,0,0,1,0,1,1,0,No,
,5803018,26 CRESCENT AV,,2018-013596PRJ,ADU,R,2018-10-03,0,0,0,0,0,1,0,1,1,0,No,
,7538039,62 LAIDLEY ST,,2018-013932PRJ,SFD,O,2018-08-08,0,0,0,0,0,0,1,1,1,0,No,
,7212001B,3015 25TH AV,,2018-015404PRJ,ADU,R,2018-11-09,0,0,0,0,0,1,0,1,1,0,No,
,4791026,1391 SHAFTER AV,,2018-013922PRJ,ADU,R,2018-08-16,0,0,0,0,0,1,0,1,1,0,No,
,6411015,25 ROLPH ST,,2018-013357PRJ,ADU,R,2018-10-09,0,0,0,0,0,1,0,1,1,0,No,
,1049058,1805 DIVISADERO ST,,2018-016399PRJ,ADU,R,2018-11-29,0,0,0,0,0,1,0,1,1,0,No,
,6515009,370 BARTLETT ST,,2018-016396PRJ,ADU,R,2018-12-05,0,0,0,0,0,1,0,1,1,0,No,
,2504A001D,2719 35TH AV,,2018-017063PRJ,ADU,R,2018-12-19,0,0,0,0,0,1,0,1,1,0,No,
,4262022,2443 24TH ST,,2018-014325PRJ,ADU,R,2018-10-19,0,0,0,0,0,1,0,1,1,0,No,
,1030034,3039 CALIFORNIA ST,,2018-016358PRJ,ADU,R,2018-11-07,0,0,0,0,0,1,0,1,1,0,No,
,3273021,725 DARIEN WY,,2018-002449PRJ,ADU,R,2018-02-09,0,0,0,0,0,1,0,1,1,0,No,
,5387018A,1519 VAN DYKE AV,,2018-016528PRJ,ADU,R,2018-12-07,0,0,0,0,0,1,0,1,1,0,No,
,5940019,275 HARVARD ST,,2018-015571PRJ,ADU,R,2018-11-09,0,0,0,0,0,1,0,1,1,0,No,
,1567007A,651 24TH AV,,2018-016413PRJ,2 to 4,O,2018-10-19,0,0,0,0,0,0,1,1,1,0,No,
,6089025,547 EDINBURG ST,,2018-016508PRJ,ADU,R,2018-12-07,0,0,0,0,0,1,0,1,1,0,No,
,0100059,36 ALADDIN TR,,2018-016653PRJ,2 to 4,O,2018-12-10,0,0,0,0,0,0,1,1,1,0,No,
,1859A011D,70 LURLINE ST,,2018-017111PRJ,ADU,R,2018-12-20,0,0,0,0,0,1,0,1,1,0,No,
,0827018,522 STEINER ST,,2018-016444PRJ,ADU,R,2018-12-06,0,0,0,0,0,1,0,1,1,0,No,
,0251026,1363 CALIFORNIA ST,,2018-016873PRJ,ADU,R,2018-12-13,0,0,0,0,0,1,0,1,1,0,No,
