APN_old,APN,address,project_name,jurisdiction_id,unit,tenure,vli_dr_entitle,vli_ndr_entitle,li_dr_entitle,li_ndr_entitle,mi_dr_entitle,mi_ndr_entitle,ami_entitle,date_entitle,units_entitle,vli_dr_permit,vli_ndr_permit,li_dr_permit,li_ndr_permit,mi_dr_permit,mi_ndr_permit,ami_permit,date_permit,units_permit,vli_dr_occcert,vli_ndr_occcert,li_dr_occcert,li_ndr_occcert,mi_dr_occcert,mi_ndr_occcert,ami_occcert,date_occcert,units_occcert,ELI_units,SB35,infill,asst_prog,dr_type,lcl_determ,dr_afford_term,demoed_units,demoed_type,demoed_tenure,notes
,018 046501300,250 9TH AVE,,B1700957,5+,R,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,241,2018-03-02 00:00:00,241,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
,015 137803200,647 ALCATRAZ AVE,,PLN18174,SFD,O,0,0,0,0,0,0,1,2018-11-07 00:00:00,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
,041 413501100,1145 72ND AVE,,PLN18182,SFD,O,0,0,0,0,0,0,1,2018-08-13 00:00:00,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
,047 550301000,1951 101ST AVE,,PLN18192,ADU,R,0,0,0,0,0,0,1,2018-08-29 00:00:00,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
,007 055300400,1419 PERALTA ST,,PLN18194,SFD,O,0,0,0,0,0,0,1,2018-10-30 00:00:00,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
,004 009502200,730 HENRY ST,,PLN18196,SFD,O,0,0,0,0,0,0,1,2018-10-30 00:00:00,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
,039 327500803,6682 BANCROFT AVE,,PLN18211,2 to 4,R,0,0,0,0,0,0,2,2018-12-11 00:00:00,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
,048G743602201,6173 VALLEY VIEW RD,,PLN18212,SFD,O,0,0,0,0,0,0,1,2018-09-05 00:00:00,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
,007 059502600,3236 HELEN ST,,PLN18220,SFD,O,0,0,0,0,0,0,1,2018-11-28 00:00:00,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
,048F736804603,1776 GASPAR DR,,PLN18223,SFD,O,0,0,0,0,0,0,1,2018-10-09 00:00:00,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
,046 545900100,2040 90TH AVE,,PLN18224,SFD,O,0,0,0,0,0,0,1,2018-10-23 00:00:00,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
,048G744600113, BONNINGTON CT,,PLN18233,SFD,O,0,0,0,0,0,0,1,2018-12-26 00:00:00,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
,013 111102300,238 RIDGEWAY AVE,,PLN18238,SFD,O,0,0,0,0,0,0,1,2018-10-23 00:00:00,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
,005 040700400,2041 LINDEN ST,,PLN18248,2 to 4,R,0,0,0,0,0,0,2,2018-12-11 00:00:00,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
,008 062400600,1717 WEBSTER ST,,B1701888,5+,R,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,250,2018-03-08 00:00:00,250,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
,048H762003700,0 CHARING CROSS RD,,PLN18269,SFD,O,0,0,0,0,0,0,1,2018-12-26 00:00:00,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
,008 062200105,447 17TH ST,,B1601981,5+,R,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,254,2018-02-27 00:00:00,254,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
,002 007700100,226 13TH ST,,B1703311,5+,R,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,261,2018-01-02 00:00:00,261,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
,006 003506400,834 PINE ST,,PLN18301,SFD,O,0,0,0,0,0,0,1,2018-07-16 00:00:00,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
,030 190900302,3711 WISCONSIN ST,,PLN18304,SFD,O,0,0,0,0,0,0,1,2018-11-21 00:00:00,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
,002 009703800,1150 CLAY ST,,B1606100,5+,R,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,288,2018-03-09 00:00:00,288,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
,002 006300600,301 12TH ST,,B1702561,5+,R,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,333,2018-06-22 00:00:00,333,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
,045 520301102,0 107TH AVE,,PLN18414,SFD,O,0,0,0,0,0,0,1,2018-12-31 00:00:00,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
,018 042000401,40 JACK LONDON SQ,,B1702571,5+,R,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,333,2018-02-16 00:00:00,333,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
,008 067102001,277 27TH ST,,B1603981,5+,R,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,405,2018-07-20 00:00:00,405,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
,008 063800605,1900 BROADWAY,,B1802889,5+,R,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,452,2018-12-12 00:26:45,452,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
,048H762401700,7100 NORFOLK RD,,RB1602702,SFD,O,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,2018-09-06 00:00:00,1,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
,007 059400202,1425 34th ST,,RB1602904,SFA,O,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,2018-03-07 00:00:00,1,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
,007 059400202,1427 34th ST,,RB1602905,SFA,O,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,2018-03-07 00:00:00,1,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
,007 059400202,1429 34TH ST,,RB1602906,SFA,O,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,2018-03-07 00:00:00,1,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
,007 059400202,1431 34TH ST,,RB1602907,SFA,O,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,2018-03-07 00:00:00,1,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
,007 059400202,1433 34TH ST,,RB1602908,SFA,O,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,2018-03-07 00:00:00,1,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
,007 059400202,1435 34th ST,,RB1602909,SFA,O,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,2018-03-07 00:00:00,1,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
,007 059400202,1437 34th ST,,RB1602910,SFA,O,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,2018-03-07 00:00:00,1,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
,007 059400202,1439 34TH ST,,RB1602911,SFA,O,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,2018-03-07 00:00:00,1,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
,048D729900803,6645 EXETER DR,,RB1604241,SFD,O,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,2018-03-06 00:00:00,1,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
,036 250300601,5035 MACARTHUR BLVD,,RB1604394,SFD,O,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,2018-08-16 00:00:00,1,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
,036 250300601,5037 MACARTHUR BLVD,,RB1604395,SFD,O,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,2018-08-16 00:00:00,1,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
,026 077701500,2624 INYO AVE,,RB1605406,SFD,O,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,2018-04-25 00:00:00,1,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
,026 077701400,2618 INYO AVE,,RB1605407,SFD,O,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,2018-04-25 00:00:00,1,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
,021 024501400,2021 SONOMA WY,,RB1700702,SFD,O,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,2018-10-23 00:00:00,1,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
,040A345003300,7901 WINTHROPE ST,,RB1700842,ADU,R,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,2018-01-11 00:00:00,1,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
,040 340702600,2712 RITCHIE ST,,RB1701352,ADU,R,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,2018-04-23 00:00:00,1,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
,005 045801100,2903 MAGNOLIA ST,,RB1701832,SFD,O,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,2018-04-05 00:00:00,1,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
,005 045801100,2905 MAGNOLIA ST,,RB1701833,SFD,O,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,2018-04-05 00:00:00,1,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
,037A315601300,13462 CAMPUS DR,,RB1702353,SFD,O,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,2018-12-05 00:00:00,1,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
,036 241601601,2207 48TH AVE,,RB1702651,ADU,O,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,2018-01-29 00:00:00,1,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
,043A475004001,3330 SARAZEN AVE,,RB1702941,SFD,O,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,2018-05-04 00:00:00,1,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
,013 112801800,4428 HOWE ST,,RB1702947,SFD,O,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,2018-05-16 00:00:00,1,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
,013 112801800,4432 HOWE ST,,RB1702949,SFD,O,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,2018-08-15 00:00:00,1,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
,013 112801900,4436 HOWE ST,,RB1702951,SFD,O,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,2018-08-06 00:00:00,1,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
,013 112802000,4438 HOWE ST,,RB1702953,SFD,O,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,2018-05-16 00:00:00,1,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
,004 007502200,1488 3RD ST,,RB1702964,SFD,O,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,2018-08-13 00:00:00,1,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
,003 003101300,878 20TH ST,,RB1702965,SFD,O,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,2018-08-20 00:00:00,1,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
,022 038300801,1318 E 34TH ST,,RB1703270,2 to 4,R,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,4,2018-06-29 00:00:00,4,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
,047 555801100,10417 DANTE AVE,,RB1703286,ADU,R,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,2018-02-14 00:00:00,1,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
,016 146800600,"1174 OCEAN AVE, UNIT A & B",,RB1703344,2 to 4,R,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,2,2018-04-26 00:00:00,2,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
,038 321001500,5934 HAYES ST,,RB1703365,2 to 4,R,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,2,2018-01-29 00:00:00,2,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
,015 127711200,546 56TH ST,,RB1703445,ADU,R,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,2018-02-27 00:00:00,1,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
,048H761901300,6881 SHERWICK DR,,RB1703608,SFD,O,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,2018-04-23 00:00:00,1,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
,013 109300400,4411 M L KING JR WY,,RB1703629,ADU,R,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,2018-01-22 00:00:00,1,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
,040A341904002,7621 HILLMONT DR,,RB1703822,2 to 4,R,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,2,2018-05-25 00:00:00,2,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
,014 121203500,621 56th ST,,RB1703875,ADU,R,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,2018-01-23 00:00:00,1,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
