APN_old,APN,address,project_name,jurisdiction_id,unit,tenure,date_submit,vli_dr,vli_ndr,li_dr,li_ndr,mi_dr,mi_ndr,ami,proposed,approved,disapproved,SB35,notes
,022 029603600,"2273 E 23RD ST, Oakland, CA 94606",,DRX180794,ADU,R,2018-04-10 11:34:28,0,0,0,0,0,0,1,1,1,0,No,
,022 029703200,"1937 E 23RD ST, Oakland, CA 94606",,DRX180836,ADU,R,2018-08-13 08:09:24,0,0,0,0,0,0,1,1,1,0,No,
,022 032300300,"2341 17TH AVE, Oakland, CA 94606",,DRX180839,ADU,R,2018-06-15 14:00:54,0,0,0,0,0,0,1,1,1,0,No,
,022 032402900,"1801 E 24TH ST, Oakland, CA 94606",,DRX180862,ADU,R,2018-08-31 11:39:36,0,0,0,0,0,0,1,1,1,0,No,
,022 032705000,"2407 23RD AVE, Oakland, CA 94606",,DRX180877,ADU,R,2018-06-21 13:35:07,0,0,0,0,0,0,1,1,1,0,No,
,022 035000701,2527 HIGHLAND AVE,,PLN18151,SFD,O,2018-04-21 00:00:00,0,0,0,0,0,0,1,1,1,0,No,
,022 035701900,"1368 E 28TH ST, Oakland, CA 94606",,DRX180890,ADU,R,2018-05-15 14:46:37,0,0,0,0,0,0,1,1,1,0,No,
,023 041001500,"515 HADDON RD, Oakland, CA 94606",,DRX180909,ADU,R,2018-12-18 10:59:06,0,0,0,0,0,0,1,1,1,0,No,
,023 042902100,"563 RADNOR RD, Oakland, CA 94606",,DRX180913,ADU,R,2018-06-08 08:57:39,0,0,0,0,0,0,1,1,1,0,No,
,023 043100500,"711 MCKINLEY AVE, Oakland, CA 94610",,DRX180922,ADU,R,2018-01-30 15:53:52,0,0,0,0,0,0,1,1,1,0,No,
,023 043200700,"738 MCKINLEY AVE, Oakland, CA 94610",,DRX180933,ADU,R,2018-12-10 09:23:09,0,0,0,0,0,0,1,1,1,0,No,
,023 044001400,"812 MACARTHUR BLVD, Oakland, CA 94610",,DRX180946,ADU,R,2018-03-28 10:16:41,0,0,0,0,0,0,1,1,1,0,No,
,023 046801600,"728 CLEVELAND ST, Oakland, CA 94606",,DRX180951,ADU,R,2018-05-15 09:29:56,0,0,0,0,0,0,1,1,1,0,No,
,023 048502500,"1448 ALLMAN ST, Oakland, CA 94602",,DRX180953,ADU,R,2018-01-12 10:11:54,0,0,0,0,0,0,1,1,1,0,No,
,023 048801900,"1475 EXCELSIOR AVE, Oakland, CA 94602",,DRX180961,ADU,R,2018-05-11 09:43:04,0,0,0,0,0,0,1,1,1,0,No,
,024 052802700,"3816 BRIGHTON AVE, Oakland, CA 94602",,DRX180962,ADU,R,2018-08-10 08:28:19,0,0,0,0,0,0,1,1,1,0,No,
,024 053301400,"4000 GREENWOOD AVE, Oakland, CA 94602",,DRX180965,ADU,R,2018-03-14 12:48:49,0,0,0,0,0,0,1,1,1,0,No,
,024 053600500,"4145 RANDOLPH AVE, Oakland, CA 94602",,DRX180995,ADU,R,2018-04-20 14:40:51,0,0,0,0,0,0,1,1,1,0,No,
,024 053905100,"1339 WELLINGTON ST, Oakland, CA 94602",,DRX181000,ADU,R,2018-06-22 11:36:44,0,0,0,0,0,0,1,1,1,0,No,
,024 054602800,"4350 EDGEWOOD AVE, Oakland, CA 94602",,DRX181024,ADU,R,2018-11-16 10:38:45,0,0,0,0,0,0,1,1,1,0,No,
,024 055703600,"4642 SAN SEBASTIAN AVE, Oakland, CA 94602",,DRX181026,ADU,R,2018-10-03 11:39:00,0,0,0,0,0,0,1,1,1,0,No,
,024 056300500,"1043 NORWOOD AVE, Oakland, CA 94610",,DRX181046,ADU,R,2018-05-01 11:55:48,0,0,0,0,0,0,1,1,1,0,No,
,025 072200200,"2923 E 17TH ST, Oakland, CA 94601",,DRX181055,ADU,R,2018-05-03 08:39:44,0,0,0,0,0,0,1,1,1,0,No,
,025 073001101,"2822 E 16TH ST, Oakland, CA 94601",,DRX181070,ADU,R,2018-04-02 11:57:00,0,0,0,0,0,0,1,1,1,0,No,
,025 073400300,"1727 26TH AVE, Oakland, CA 94601",,DRX181083,ADU,R,2018-07-10 08:56:37,0,0,0,0,0,0,1,1,1,0,No,
,026 074800900,"2041 RUTHERFORD ST, Oakland, CA 94601",,DRX181086,ADU,R,2018-11-14 14:25:13,0,0,0,0,0,0,1,1,1,0,No,
,026 074901000,"2009 AUSTIN ST, Oakland, CA 94601",,DRX181096,ADU,R,2018-01-17 14:57:19,0,0,0,0,0,0,1,1,1,0,No,
,026 075500800,"2459 E 23RD ST, Oakland, CA 94601",,DRX181102,ADU,R,2018-07-30 15:32:37,0,0,0,0,0,0,1,1,1,0,No,
,026 075500900,"2231 25TH AVE, Oakland, CA 94601",,DRX181127,ADU,R,2018-01-30 14:04:20,0,0,0,0,0,0,1,1,1,0,No,
,026 076701200,"3002 GALINDO ST, Oakland, CA 94601",,DRX181129,ADU,R,2018-12-14 11:48:38,0,0,0,0,0,0,1,1,1,0,No,
,026 078100300,"2672 GRANDE VISTA AVE, Oakland, CA 94601",,DRX181130,ADU,R,2018-03-02 12:05:36,0,0,0,0,0,0,1,1,1,0,No,
,026 078100300,"2672 GRANDE VISTA AVE, Oakland, CA 94601",,DRX181138,ADU,R,2018-09-26 14:43:18,0,0,0,0,0,0,1,1,1,0,No,
,027 085700400,"2931 SCHYLER ST, Oakland, CA 94602",,DRX181139,ADU,R,2018-12-07 10:27:03,0,0,0,0,0,0,1,1,1,0,No,
,027 087000700,"2930 COOLIDGE AVE, Oakland, CA 94602",,DRX181157,ADU,R,2018-06-08 10:05:31,0,0,0,0,0,0,1,1,1,0,No,
,027 088103508,"2119 34TH AVE, Oakland, CA 94601",,DRX181171,ADU,R,2018-11-02 15:36:55,0,0,0,0,0,0,1,1,1,0,No,
,027 089202400,"2622 HUMBOLDT AVE, Oakland, CA 94602",,DRX181175,ADU,R,2018-01-17 14:28:33,0,0,0,0,0,0,1,1,1,0,No,
,028 090103300,"3148 CHAMPION ST, Oakland, CA 94602",,DRX181186,ADU,R,2018-06-14 09:12:07,0,0,0,0,0,0,1,1,1,0,No,
,028 093901300,"3022 MACARTHUR BLVD, Oakland, CA 94602",,DRX181188,ADU,R,2018-05-17 15:01:41,0,0,0,0,0,0,1,1,1,0,No,
,028 097200500,"3015 ARIZONA ST, Oakland, CA 94602",,DRX181194,ADU,R,2018-08-23 14:42:22,0,0,0,0,0,0,1,1,1,0,No,
,028 097400900,"3225 WISCONSIN ST, Oakland, CA 94602",,DRX181195,ADU,R,2018-06-05 13:42:14,0,0,0,0,0,0,1,1,1,0,No,
,028 097603900,"3121 WISCONSIN ST, Oakland, CA 94602",,DRX181200,ADU,R,2018-06-26 14:07:11,0,0,0,0,0,0,1,1,1,0,No,
,028 097603900,"3121 WISCONSIN ST, Oakland, CA 94602",,DRX181224,ADU,R,2018-06-26 14:13:14,0,0,0,0,0,0,1,1,1,0,No,
,029 098500100,"4016 RHODA AVE, Oakland, CA 94602",,DRX181230,ADU,R,2018-09-26 11:21:57,0,0,0,0,0,0,1,1,1,0,No,
,029 098701700,"3807 RHODA AVE, Oakland, CA 94602",,DRX181237,ADU,R,2018-08-14 15:39:14,0,0,0,0,0,0,1,1,1,0,No,
,029 099702800,"2417 DELMER ST, Oakland, CA 94602",,DRX181240,ADU,R,2018-03-15 08:19:46,0,0,0,0,0,0,1,1,1,0,No,
,029 099801800,"2539 CARMEL ST, Oakland, CA 94602",,DRX181241,ADU,R,2018-12-18 13:10:32,0,0,0,0,0,0,1,1,1,0,No,
,029 099801800,"2539 CARMEL ST, Oakland, CA 94602",,DRX181255,ADU,R,2018-05-17 12:33:30,0,0,0,0,0,0,1,1,1,0,No,
,029 100802900,"2520 ALIDA ST, Oakland, CA 94602",,DRX181258,ADU,R,2018-05-10 09:19:31,0,0,0,0,0,0,1,1,1,0,No,
,029 107203407,"3315 VICTOR AVE, Oakland, CA 94602",,DRX181265,ADU,R,2018-04-04 15:26:07,0,0,0,0,0,0,1,1,1,0,No,
,029 107301100,"4134 MIDVALE AVE, Oakland, CA 94602",,DRX181266,ADU,R,2018-10-19 12:19:37,0,0,0,0,0,0,1,1,1,0,No,
,029 126200111,"2730 MOUNTAIN BLVD, Oakland, CA 94602",,DRX181278,ADU,R,2018-09-21 14:00:51,0,0,0,0,0,0,1,1,1,0,No,
,029A130404500,"2309 COLOMA ST, Oakland, CA 94602",,DRX181285,ADU,R,2018-10-11 12:11:28,0,0,0,0,0,0,1,1,1,0,No,
,030 183506400,"4311 CARSON ST, Oakland, CA 94619",,DRX181290,ADU,R,2018-07-19 13:04:17,0,0,0,0,0,0,1,1,1,0,No,
,030 190900302,3711 WISCONSIN ST,,PLN18304,SFD,O,2018-08-16 00:00:00,0,0,0,0,0,0,1,1,1,0,No,
,030 191501400,"3810 WISCONSIN ST, Oakland, CA 94619",,DRX181291,ADU,R,2018-03-30 16:05:02,0,0,0,0,0,0,1,1,1,0,No,
,030 194100500,"4291 FAIR AVE, Oakland, CA 94619",,DRX181294,ADU,R,2018-11-16 15:26:25,0,0,0,0,0,0,1,1,1,0,No,
,032 203011800,"3630 PENNIMAN AVE, Oakland, CA 94619",,DRX181303,ADU,R,2018-03-23 12:57:49,0,0,0,0,0,0,1,1,1,0,No,
,032 204602800,"2206 HIGH ST, Oakland, CA 94601",,DRX181323,ADU,R,2018-09-06 08:34:41,0,0,0,0,0,0,1,1,1,0,No,
,032 204701702,"2166 HIGH ST, Oakland, CA 94601",,DRX181326,ADU,R,2018-06-28 15:30:56,0,0,0,0,0,0,1,1,1,0,No,
,032 205301100,"2929 MINNA AVE, Oakland, CA 94619",,DRX181333,ADU,R,2018-05-10 10:48:15,0,0,0,0,0,0,1,1,1,0,No,
,032 206900301,"3939 BROOKDALE AVE, OAKLAND, CA",,DRX181335,ADU,R,2018-06-04 12:53:48,0,0,0,0,0,0,1,1,1,0,No,
,032 207503500,"4070 SANTA RITA ST, Oakland, CA 94601",,DRX181336,ADU,R,2018-11-20 12:27:37,0,0,0,0,0,0,1,1,1,0,No,
,032 209001300,"3905 MERA ST, Oakland, CA 94601",,DRX181346,ADU,R,2018-05-04 14:42:52,0,0,0,0,0,0,1,1,1,0,No,
,032 209601700,"2187 40TH AVE, Oakland, CA 94601",,DRX181355,ADU,R,2018-05-17 10:41:22,0,0,0,0,0,0,1,1,1,0,No,
,032 210102200,"2503 HARRINGTON AVE, Oakland, CA 94601",,DRX181357,ADU,R,2018-01-24 15:36:32,0,0,0,0,0,0,1,1,1,0,No,
,032 211401800,"3572 HARPER ST, Oakland, CA 94601",,DRX181358,ADU,R,2018-10-10 11:02:10,0,0,0,0,0,0,1,1,1,0,No,
,032 211600400,"2005 CROSBY AVE, Oakland, CA 94601",,DRX181362,ADU,R,2018-08-24 13:33:05,0,0,0,0,0,0,1,1,1,0,No,
,033 215400900,"1200 41ST AVE, Oakland, CA 94601",,DRX181366,ADU,R,2018-07-13 11:54:31,0,0,0,0,0,0,1,1,1,0,No,
,034 227301900,"1253 52ND AVE, Oakland, CA 94601",,DRX181370,ADU,R,2018-05-21 11:57:19,0,0,0,0,0,0,1,1,1,0,No,
,035 235201500,"4238 E 17TH ST, Oakland, CA 94601",,DRX181374,ADU,R,2018-07-18 13:02:45,0,0,0,0,0,0,1,1,1,0,No,
,035 235600700,"1435 45th, OAKLAND, CA",,DRX181379,ADU,R,2018-06-22 08:35:50,0,0,0,0,0,0,1,1,1,0,No,
,035 236000600,"1523 48TH AVE, Oakland, CA 94601",,DRX181409,ADU,R,2018-04-04 09:58:24,0,0,0,0,0,0,1,1,1,0,No,
,035 237300800,5169 TRASK ST,,PLN18080,SFD,O,2018-03-07 00:00:00,0,0,0,0,0,0,1,1,1,0,No,
,035 238702500,"5129 FOOTHILL BLVD, Oakland, CA 94601",,DRX181410,ADU,R,2018-03-05 10:30:19,0,0,0,0,0,0,1,1,1,0,No,
,035 239401200,"5242 WENTWORTH AVE, Oakland, CA 94601",,DRX181415,ADU,R,2018-10-12 11:07:33,0,0,0,0,0,0,1,1,1,0,No,
,036 241201800,"2155 47TH AVE, Oakland, CA 94601",,DRX181420,ADU,R,2018-10-11 11:09:51,0,0,0,0,0,0,1,1,1,0,No,
,036 242702000,"2430 POTTER ST, Oakland, CA 94601",,DRX181423,ADU,R,2018-12-20 09:34:17,0,0,0,0,0,0,1,1,1,0,No,
,036 244100800,"4443 VIRGINIA AVE, Oakland, CA 94619",,DRX181427,ADU,R,2018-04-24 10:13:17,0,0,0,0,0,0,1,1,1,0,No,
,036 245503900,"3142 KINGSLAND AVE, Oakland, CA 94619",,DRX181447,ADU,R,2018-08-30 14:11:16,0,0,0,0,0,0,1,1,1,0,No,
,036 245900200,"5121 FLEMING AVE, Oakland, CA 94619",,DRX181451,ADU,R,2018-11-30 11:41:51,0,0,0,0,0,0,1,1,1,0,No,
,036 249702000,"5438 NORMANDIE AVE, Oakland, CA 94619",,DRX181468,ADU,R,2018-10-31 15:17:12,0,0,0,0,0,0,1,1,1,0,No,
,036 249702800,"5336 NORMANDIE AVE, Oakland, CA 94619",,DRX181476,ADU,R,2018-09-12 15:16:55,0,0,0,0,0,0,1,1,1,0,No,
,036 250303200,0 WYMAN ST,,PLN18158,SFD,O,2018-04-28 00:00:00,0,0,0,0,0,0,1,1,1,0,No,
,037 260513600,4808 MCDONELL AVE,,PLN18086,SFD,O,2018-03-10 00:00:00,0,0,0,0,0,0,1,1,1,0,No,
,037A276301900,"3932 GARDENIA PL, Oakland, CA 94605",,DRX181483,ADU,R,2018-11-09 11:33:56,0,0,0,0,0,0,1,1,1,0,No,
,037A276400900,"3959 EDGEMOOR PL, Oakland, CA 94605",,DRX181486,ADU,R,2018-09-25 11:49:06,0,0,0,0,0,0,1,1,1,0,No,
,037A277301101,"3873 DELMONT AVE, Oakland, CA 94605",,DRX181491,ADU,R,2018-01-19 15:12:44,0,0,0,0,0,0,1,1,1,0,No,
,037A277801000,"6840 SIMSON ST, Oakland, CA 94605",,DRX181498,ADU,R,2018-04-05 10:47:33,0,0,0,0,0,0,1,1,1,0,No,
,037A278700500,"6109 HILLMONT DR, Oakland, CA 94605",,DRX181507,ADU,R,2018-06-25 15:19:57,0,0,0,0,0,0,1,1,1,0,No,
,037A278703800,"6156 OAKDALE AVE, Oakland, CA 94605",,DRX181536,ADU,R,2018-03-12 15:33:41,0,0,0,0,0,0,1,1,1,0,No,
,038 318501200,"3006 SEMINARY AVE, Oakland, CA 94605",,DRX181544,ADU,R,2018-07-10 14:53:43,0,0,0,0,0,0,1,1,1,0,No,
,038 319403200,"2945 62ND AVE, Oakland, CA 94605",,DRX181546,ADU,R,2018-04-05 13:21:59,0,0,0,0,0,0,1,1,1,0,No,
,038 319606900,"2624 63RD AVE, Oakland, CA 94605",,DRX181566,ADU,R,2018-02-08 08:51:26,0,0,0,0,0,0,1,1,1,0,No,
,038 319902000,"2569 63RD AVE, Oakland, CA 94605",,DRX181572,ADU,R,2018-06-29 16:44:44,0,0,0,0,0,0,1,1,1,0,No,
,038 321003600,"6121 HILTON ST, Oakland, CA 94605",,DRX181576,ADU,R,2018-08-01 10:33:03,0,0,0,0,0,0,1,1,1,0,No,
,038 321601101,"6239 BROMLEY AVE, Oakland, CA 94621",,DRX181585,ADU,R,2018-10-09 10:02:42,0,0,0,0,0,0,1,1,1,0,No,
,038 321801600,"1607 62ND AVE, Oakland, CA 94621",,DRX181588,ADU,R,2018-03-22 15:34:31,0,0,0,0,0,0,1,1,1,0,No,
,038 322500800,"5521 HARVEY AVE, Oakland, CA 94621",,DRX181589,ADU,R,2018-10-11 11:47:52,0,0,0,0,0,0,1,1,1,0,No,
,038 323602402,"5810 E 16TH ST, Oakland, CA 94621",,DRX181590,ADU,R,2018-12-31 09:09:06,0,0,0,0,0,0,1,1,1,0,No,
,039 324800401,"1535 68TH AVE, Oakland, CA 94621",,DRX181608,ADU,R,2018-07-24 08:53:36,0,0,0,0,0,0,1,1,1,0,No,
,039 325002500,"1538 69TH AVE, Oakland, CA 94621",,DRX181610,ADU,R,2018-02-15 13:10:25,0,0,0,0,0,0,1,1,1,0,No,
,039 325403300,"2142 66TH AVE, Oakland, CA 94621",,DRX181612,ADU,R,2018-05-31 10:06:35,0,0,0,0,0,0,1,1,1,0,No,
,039 325501900,"2201 66TH AVE, Oakland, CA 94605",,DRX181660,ADU,R,2018-03-02 09:54:31,0,0,0,0,0,0,1,1,1,0,No,
,039 325601700,"2215 65TH AVE, Oakland, CA 94605",,DRX181662,ADU,R,2018-09-20 16:44:09,0,0,0,0,0,0,1,1,1,0,No,
,039 325602100,"2135 65TH AVE, Oakland, CA 94621",,DRX181670,ADU,R,2018-08-06 12:28:10,0,0,0,0,0,0,1,1,1,0,No,
,039 325701500,"2475 65TH AVE, Oakland, CA 94605",,DRX181673,ADU,R,2018-09-06 09:02:07,0,0,0,0,0,0,1,1,1,0,No,
,039 325900900,"2527 HAVENSCOURT BLVD, Oakland, CA 94605",,DRX181675,ADU,R,2018-10-02 09:51:21,0,0,0,0,0,0,1,1,1,0,No,
,039 326201900,"2079 CHURCH ST, Oakland, CA 94621",,DRX181687,ADU,R,2018-12-14 12:54:12,0,0,0,0,0,0,1,1,1,0,No,
,040 331701100,"1643 74TH AVE, Oakland, CA 94621",,DRX181688,ADU,R,2018-03-27 10:37:34,0,0,0,0,0,0,1,1,1,0,No,
,040 331908300,"1474 74TH AVE, Oakland, CA 94621",,DRX181700,ADU,R,2018-08-22 14:49:35,0,0,0,0,0,0,1,1,1,0,No,
,040 332203100,"7321 WELD ST, Oakland, CA 94621",,DRX181731,ADU,R,2018-10-29 13:29:11,0,0,0,0,0,0,1,1,1,0,No,
,040 332501301,"7407 LOCKWOOD ST, Oakland, CA 94621",,DRX181739,ADU,R,2018-05-22 13:15:01,0,0,0,0,0,0,1,1,1,0,No,
,040 332505800,"7312 WELD ST, Oakland, CA 94621",,DRX181741,ADU,R,2018-08-15 13:25:37,0,0,0,0,0,0,1,1,1,0,No,
,040 335200600,"7829 ARTHUR ST, Oakland, CA 94605",,DRX181747,ADU,R,2018-01-25 15:36:09,0,0,0,0,0,0,1,1,1,0,No,
,040 337703501,"2200 80TH AVE, Oakland, CA 94605",,DRX181771,ADU,R,2018-10-05 15:46:21,0,0,0,0,0,0,1,1,1,0,No,
,040A341200200,"7523 OUTLOOK AVE, Oakland, CA 94605",,DRX181772,ADU,R,2018-02-21 15:56:29,0,0,0,0,0,0,1,1,1,0,No,
,040A342101900,"2854 PARKER AVE, Oakland, CA 94605",,DRX181773,ADU,R,2018-10-24 10:33:46,0,0,0,0,0,0,1,1,1,0,No,
,040A342302500,"8108 NEY AVE, Oakland, CA 94605",,DRX181799,ADU,R,2018-02-20 15:27:43,0,0,0,0,0,0,1,1,1,0,No,
,040A342500404,"7893 MICHIGAN AVE, Oakland, CA 94605",,DRX181803,ADU,R,2018-08-23 14:21:19,0,0,0,0,0,0,1,1,1,0,No,
,040A344105700,"4020 EDWARDS AVE, Oakland, CA 94605",,DRX181809,ADU,R,2018-06-28 09:38:01,0,0,0,0,0,0,1,1,1,0,No,
,041 389202100,1103 SEMINARY AVE,,PLN18162,SFD,O,2018-05-05 00:00:00,0,0,0,0,0,0,1,1,1,0,No,
,041 405200700,"1301 64TH AVE, Oakland, CA 94621",,DRX181831,ADU,R,2018-05-17 10:37:45,0,0,0,0,0,0,1,1,1,0,No,
,041 413501100,1145 72ND AVE,,PLN18182,SFD,O,2018-05-18 00:00:00,0,0,0,0,0,0,1,1,1,0,No,
,041 414800600,"1079 70TH AVE, Oakland, CA 94621",,DRX181835,ADU,R,2018-08-30 09:38:17,0,0,0,0,0,0,1,1,1,0,No,
,041 415103000,"968 69TH AVE, Oakland, CA 94621",,DRX181845,ADU,R,2018-11-14 10:31:52,0,0,0,0,0,0,1,1,1,0,No,
,041 415105000,"908 70TH AVE, Oakland, CA 94621",,DRX181852,ADU,R,2018-03-07 15:32:53,0,0,0,0,0,0,1,1,1,0,No,
,041 419506300,"1216 78TH AVE, Oakland, CA 94621",,DRX181879,ADU,R,2018-07-23 11:17:57,0,0,0,0,0,0,1,1,1,0,No,
,041 419801700,"1261 80TH AVE, Oakland, CA 94621",,DRX181886,ADU,R,2018-03-27 13:09:45,0,0,0,0,0,0,1,1,1,0,No,
,042 424901000,"1345 83RD AVE, Oakland, CA 94621",,DRX181891,ADU,R,2018-08-07 11:11:52,0,0,0,0,0,0,1,1,1,0,No,
,042 426300900,"1127 84TH AVE, Oakland, CA 94621",,DRX181912,ADU,R,2018-07-10 15:35:34,0,0,0,0,0,0,1,1,1,0,No,
,042 427202400,"1242 88TH AVE, Oakland, CA 94621",,DRX181922,ADU,R,2018-10-26 13:24:15,0,0,0,0,0,0,1,1,1,0,No,
,042 427500800,"1131 89TH AVE, Oakland, CA 94621",,DRX181945,ADU,R,2018-10-11 11:02:52,0,0,0,0,0,0,1,1,1,0,No,
,043 460200600,"2063 AUSEON AVE, Oakland, CA 94621",,DRX181949,ADU,R,2018-07-26 09:36:23,0,0,0,0,0,0,1,1,1,0,No,
,043A464905500,"8483 NEY AVE, Oakland, CA 94605",,DRX181964,ADU,R,2018-03-07 16:48:44,0,0,0,0,0,0,1,1,1,0,No,
,043A468202700,"3500 OAK KNOLL BLVD, Oakland, CA 94605",,DRX181970,ADU,R,2018-08-30 15:21:48,0,0,0,0,0,0,1,1,1,0,No,
,044 495801000,"1011 92ND AVE, Oakland, CA 94603",,DRX181986,ADU,R,2018-05-30 10:11:17,0,0,0,0,0,0,1,1,1,0,No,
,044 496000200,"1245 97TH AVE, Oakland, CA 94603",,DRX181996,ADU,R,2018-06-08 12:21:35,0,0,0,0,0,0,1,1,1,0,No,
,044 496300500,"1245 94TH AVE, Oakland, CA 94603",,DRX181999,ADU,R,2018-07-19 14:41:46,0,0,0,0,0,0,1,1,1,0,No,
,045 518801200,"1215 104TH AVE, Oakland, CA 94603",,DRX182006,ADU,R,2018-11-16 12:56:57,0,0,0,0,0,0,1,1,1,0,No,
,045 520301102,0 107TH AVE,,PLN18414,SFD,O,2018-11-14 00:00:00,0,0,0,0,0,0,1,1,1,0,No,
,045 521201100,"915 106TH AVE, Oakland, CA 94603",,DRX182023,ADU,R,2018-02-13 13:10:23,0,0,0,0,0,0,1,1,1,0,No,
,045 525300100,"10704 PEARMAIN ST, Oakland, CA 94603",,DRX182024,ADU,R,2018-12-21 13:34:33,0,0,0,0,0,0,1,1,1,0,No,
,046 542101000,9012 INTERNATIONAL BLVD,,PLN18021,SFD,O,2018-02-08 00:00:00,0,0,0,0,0,0,1,1,1,0,No,
,046 544201801,"1725 96TH AVE, Oakland, CA 94603",,DRX182025,ADU,R,2018-03-02 11:55:02,0,0,0,0,0,0,1,1,1,0,No,
,046 544601900,"9320 CHERRY ST, Oakland, CA 94603",,DRX182026,ADU,R,2018-03-29 08:55:57,0,0,0,0,0,0,1,1,1,0,No,
,046 545400600,"1940 98TH AVE, Oakland, CA 94603",,DRX182027,ADU,R,2018-10-31 11:36:08,0,0,0,0,0,0,1,1,1,0,No,
,046 545401600,"1909 WARNER AVE, Oakland, CA 94603",,DRX182030,ADU,R,2018-09-06 08:21:11,0,0,0,0,0,0,1,1,1,0,No,
,046 545900100,2040 90TH AVE,,PLN18224,SFD,O,2018-06-28 00:00:00,0,0,0,0,0,0,1,1,1,0,No,
,046 546300600,"9805 SUNNYSIDE ST, Oakland, CA 94603",,DRX182035,ADU,R,2018-08-09 14:40:00,0,0,0,0,0,0,1,1,1,0,No,
,046 546600400,"2124 99TH AVE, Oakland, CA 94603",,DRX182038,ADU,R,2018-06-15 10:51:36,0,0,0,0,0,0,1,1,1,0,No,
,046 546601602,"2115 100TH AVE, Oakland, CA 94603",,DRX182074,ADU,R,2018-11-07 14:51:15,0,0,0,0,0,0,1,1,1,0,No,
,046 547000203,"2112 92ND AVE, Oakland, CA 94603",,DRX182092,ADU,R,2018-11-14 13:12:03,0,0,0,0,0,0,1,1,1,0,No,
,046 547800700,"9869 TOLER AVE, Oakland, CA 94603",,DRX182114,ADU,R,2018-09-28 11:19:21,0,0,0,0,0,0,1,1,1,0,No,
,046 548001801,"9315 HILLSIDE ST, Oakland, CA 94603",,DRX182121,ADU,R,2018-06-29 08:42:43,0,0,0,0,0,0,1,1,1,0,No,
,046 548403200,"9018 HILLSIDE ST, Oakland, CA 94603",,DRX182129,ADU,R,2018-11-27 09:48:42,0,0,0,0,0,0,1,1,1,0,No,
,046 549201500,"2301 99TH AVE, Oakland, CA 94603",,DRX182135,ADU,R,2018-07-12 14:38:03,0,0,0,0,0,0,1,1,1,0,No,
,047 549600100,"2154 102ND AVE, Oakland, CA 94603",,DRX182137,ADU,R,2018-01-23 16:36:43,0,0,0,0,0,0,1,1,1,0,No,
,047 550201800,"1907 102ND AVE, Oakland, CA 94603",,DRX182140,ADU,R,2018-03-23 10:16:56,0,0,0,0,0,0,1,1,1,0,No,
,047 550301000,1951 101ST AVE,,PLN18192,ADU,R,2018-05-31 00:00:00,0,0,0,0,0,0,1,1,1,0,No,
,047 555301500,"2109 107TH AVE, Oakland, CA 94603",,DRX182149,ADU,R,2018-07-31 10:44:07,0,0,0,0,0,0,1,1,1,0,No,
,047 556701100,"2221 109TH AVE, Oakland, CA 94603",,DRX182151,ADU,R,2018-10-31 12:50:28,0,0,0,0,0,0,1,1,1,0,No,
,047 557002100,"2368 108TH AVE, Oakland, CA 94603",,DRX182156,ADU,R,2018-11-15 11:02:09,0,0,0,0,0,0,1,1,1,0,No,
,048 560102400,"9340 THERMAL ST, Oakland, CA 94605",,DRX182162,ADU,R,2018-09-12 14:08:43,0,0,0,0,0,0,1,1,1,0,No,
,048 560103000,"9314 THERMAL ST, Oakland, CA 94605",,DRX182175,ADU,R,2018-07-06 15:10:42,0,0,0,0,0,0,1,1,1,0,No,
,048 561902200,"2615 OLIVER AVE, Oakland, CA 94605",,DRX182186,ADU,R,2018-12-18 09:37:39,0,0,0,0,0,0,1,1,1,0,No,
,048 563002300,"2730 OLIVER AVE, Oakland, CA 94605",,DRX182198,ADU,R,2018-10-11 10:53:41,0,0,0,0,0,0,1,1,1,0,No,
,048 626600300,"11255 ELVESSA ST, Oakland, CA 94605",,DRX182199,ADU,R,2018-08-13 08:26:30,0,0,0,0,0,0,1,1,1,0,No,
,048 633100302,"11141 SUN VALLEY DR, Oakland, CA 94605",,DRX182203,ADU,R,2018-02-20 10:43:40,0,0,0,0,0,0,1,1,1,0,No,
,048 633401300,"11501 SUN VALLEY DR, Oakland, CA 94605",,DRX182216,ADU,R,2018-06-18 14:31:14,0,0,0,0,0,0,1,1,1,0,No,
,048 650101900,"171 SEQUOYAH VIEW DR, Oakland, CA 94605",,DRX182221,ADU,R,2018-11-05 15:15:19,0,0,0,0,0,0,1,1,1,0,No,
,048 686000803,"4188 ST ANDREWS RD, Oakland, CA 94605",,DRX182223,ADU,R,2018-09-17 10:50:27,0,0,0,0,0,0,1,1,1,0,No,
,048A705004700,"5589 LAWTON AVE, Oakland, CA 94618",,DRX182241,ADU,R,2018-04-24 09:09:11,0,0,0,0,0,0,1,1,1,0,No,
,048A705103500,"5693 OCEAN VIEW DR, Oakland, CA 94618",,DRX182248,ADU,R,2018-07-27 11:22:54,0,0,0,0,0,0,1,1,1,0,No,
,048A705201600,"5528 MCMILLAN ST, Oakland, CA 94618",,DRX182252,ADU,R,2018-05-08 12:02:10,0,0,0,0,0,0,1,1,1,0,No,
,048A705303700,"5925 KEITH AVE, Oakland, CA 94618",,DRX182255,ADU,R,2018-12-13 16:07:37,0,0,0,0,0,0,1,1,1,0,No,
,048A707401500,"6232 MANOA ST, Oakland, CA 94618",,DRX182269,ADU,R,2018-09-18 11:01:21,0,0,0,0,0,0,1,1,1,0,No,
