APN_old,APN,address,project_name,jurisdiction_id,unit,tenure,date_submit,vli_dr,vli_ndr,li_dr,li_ndr,mi_dr,mi_ndr,ami,proposed,approved,disapproved,SB35,notes
,008 063800500,1900 BROADWAY,,PLN15179-R02,5+,R,2018-06-06 00:00:00,0,0,0,0,0,0,19,19,0,19,No,
,036 250300800,"5091 MACARTHUR BLVD, OAKLAND, CA 94619",,PLN18096,5+,R,2018-03-16 00:00:00,0,0,0,0,0,0,18,18,0,18,No,
,038 320000501,6125 FOOTHILL BLVD,,PLN18401,5+,R,2018-11-02 00:00:00,0,0,0,0,0,0,18,18,0,18,No,
,015 130701400,5630 SAN PABLO AVE,,PLN18423,5+,R,2018-11-22 00:00:00,0,0,0,0,0,0,15,15,0,15,No,
,019 003400200,819 E 12TH ST,,PLN18260,5+,R,2018-07-25 00:00:00,0,0,0,0,0,0,13,13,0,13,No,
,032 207901800,4134 FOOTHILL BLVD,,PLN18089,5+,R,2018-03-15 00:00:00,0,0,0,0,0,0,12,12,12,0,No,
,007 059400800,3245 HOLLIS ST,,PLN18142,5+,R,2018-04-14 00:00:00,0,0,0,0,0,0,10,10,10,0,No,
,012 101400302,4127 M L KING JR WY,,PLN18141,5+,R,2018-04-14 00:00:00,0,0,0,0,0,0,10,10,10,0,No,
,008 067200701,0 VALDEZ ST,,PLN18191,5+,R,2018-05-30 00:00:00,0,0,0,0,0,0,9,9,0,9,No,
,009 073103902,3416 PIEDMONT AVE,,PLN15197-R02,5+,O,2018-11-10 00:00:00,0,0,0,0,0,0,9,9,0,9,No,
,002 000301802,1150 MARKET ST,,PLN18357,5+,R,2018-09-23 00:00:00,0,0,0,0,0,0,8,8,0,8,No,
,009 068201700,2618 M L KING JR WY,,PLN18377,SFA,O,2018-10-12 00:00:00,0,0,0,0,0,0,8,8,0,8,No,
,015 137401500,5900 SHATTUCK AVE,,PLN18280,5+,R,2018-08-01 00:00:00,0,0,0,0,0,0,8,8,0,8,No,
,015 129400100,919 STANFORD AVE,,PLN18144,5+,R,2018-04-18 00:00:00,0,0,0,0,0,0,7,7,0,7,No,
,023 039503500,3110 PARK BLVD,,PLN18038,5+,R,2018-02-21 00:00:00,0,0,0,0,0,0,7,7,0,7,No,
,005 040702102,0 18TH ST,,PLN18035,5+,R,2018-02-17 00:00:00,0,0,0,0,0,0,6,6,6,0,No,
,028 090001500,3100 FRUITVALE AVE,,PLN18135,5+,R,2018-04-11 00:00:00,0,0,0,0,0,0,6,6,6,0,No,
,040A342003900,7894 NEY AVE,,PLN18018,5+,R,2018-02-07 00:00:00,0,0,0,0,0,0,6,6,6,0,No,
,008 066500700,2325 VALLEY ST,,PLN18283,5+,O,2018-08-04 00:00:00,0,0,0,0,0,0,5,5,5,0,No,
,029 098901303,3589 COOLIDGE AVE,,PLN18113,2 to 4,R,2018-03-30 00:00:00,0,0,0,0,0,0,4,4,4,0,No,
,016 144401900,"1048 62ND ST, OAKLAND, CA 94608",,PLN18079,2 to 4,R,2018-03-07 00:00:00,0,0,0,0,0,0,4,4,0,4,No,
,030 192500700,"3712 39TH AVE, OAKLAND, CA 94619",,PLN18266,2 to 4,R,2018-07-27 00:00:00,0,0,0,0,0,0,4,4,0,4,No,
,039 327901302,6620 FOOTHILL BLVD,,PLN18404,2 to 4,R,2018-11-04 00:00:00,0,0,0,0,0,0,4,4,0,4,No,
,030 192000200,3751 39TH AVE,,PLN18138,2 to 4,R,2018-04-13 00:00:00,0,0,0,0,0,0,3,3,3,0,No,
,022 030901200,335 HANOVER AVE,,PLN18073,2 to 4,R,2018-03-02 00:00:00,0,0,0,0,0,0,3,3,0,3,No,
,044 497901600,1083 98TH AVE,,PLN18440,2 to 4,R,2018-12-05 00:00:00,0,0,0,0,0,0,3,3,0,3,No,
,005 040700400,2041 LINDEN ST,,PLN18248,2 to 4,R,2018-07-12 00:00:00,0,0,0,0,0,0,2,2,2,0,No,
,007 055301200,1626 14TH ST,,PLN18157,2 to 4,R,2018-04-27 00:00:00,0,0,0,0,0,0,2,2,2,0,No,
,014 119800203,807 56TH ST,,PLN18032,2 to 4,O,2018-02-16 00:00:00,0,0,0,0,0,0,2,2,2,0,No,
,032 203216600,3142 HIGH ST,,PLN18153,2 to 4,R,2018-04-26 00:00:00,0,0,0,0,0,0,2,2,2,0,No,
,039 327500803,6682 BANCROFT AVE,,PLN18211,2 to 4,R,2018-06-16 00:00:00,0,0,0,0,0,0,2,2,2,0,No,
,005 046300402,1159 32ND ST,,PLN18311,2 to 4,R,2018-08-22 00:00:00,0,0,0,0,0,0,2,2,0,2,No,
,006 001300700,"1675 12TH ST, OAKLAND, CA 94607",,PLN18420,2 to 4,R,2018-11-21 00:00:00,0,0,0,0,0,0,2,2,0,2,No,
,016 143900700,"968 63RD ST, OAKLAND, CA 94608",,PLN18297,2 to 4,R,2018-08-10 00:00:00,0,0,0,0,0,0,2,2,0,2,No,
,020 015301000,2336 INTERNATIONAL BLVD,,PLN18075,2 to 4,R,2018-03-03 00:00:00,0,0,0,0,0,0,2,2,2,0,No,
,23040501100,"512 Spruce ST, OAKLAND, CA 94606",,DRX180045,ADU,R,2018-02-08 09:27:08,0,0,0,0,0,0,1,1,1,0,No,
,29099403800,"2451 SCENIC AVE, OAKLAND, CA 94602",,DRX180055,ADU,R,2018-03-21 16:07:29,0,0,0,0,0,0,1,1,1,0,No,
,001 012902000,"418 JEFFERSON ST, Oakland, CA 94607",,DRX180059,ADU,R,2018-11-09 08:59:52,0,0,0,0,0,0,1,1,1,0,No,
,003 001700700,"882 ISABELLA ST, Oakland, CA 94607",,DRX180060,ADU,R,2018-06-18 09:15:35,0,0,0,0,0,0,1,1,1,0,No,
,003 002901000,"860 22ND ST, Oakland, CA 94607",,DRX180071,ADU,R,2018-08-09 09:54:31,0,0,0,0,0,0,1,1,1,0,No,
,004 003504100,"1218 ADELINE ST, Oakland, CA 94607",,DRX180082,ADU,R,2018-09-18 15:39:46,0,0,0,0,0,0,1,1,1,0,No,
,004 006100700,"1414 12TH ST, Oakland, CA 94607",,DRX180089,ADU,R,2018-06-25 16:57:13,0,0,0,0,0,0,1,1,1,0,No,
,004 009502200,730 HENRY ST,,PLN18196,SFD,O,2018-06-01 00:00:00,0,0,0,0,0,0,1,1,1,0,No,
,004 010100500,"537 CHESTER ST, Oakland, CA 94607",,DRX180099,ADU,R,2018-03-21 11:09:45,0,0,0,0,0,0,1,1,1,0,No,
,005 042600300,"1161 24TH ST, Oakland, CA 94607",,DRX180107,ADU,R,2018-07-06 11:01:20,0,0,0,0,0,0,1,1,1,0,No,
,005 046600300,"1027 32ND ST, Oakland, CA 94608",,DRX180108,ADU,R,2018-04-19 09:36:28,0,0,0,0,0,0,1,1,1,0,No,
,005 047101200,"3227 LINDEN ST, Oakland, CA 94608",,DRX180125,ADU,R,2018-03-01 13:38:09,0,0,0,0,0,0,1,1,1,0,No,
,006 001304600,"1678 10TH ST, Oakland, CA 94607",,DRX180131,ADU,R,2018-04-09 09:27:10,0,0,0,0,0,0,1,1,1,0,No,
,006 001701500,"729 CAMPBELL ST, Oakland, CA 94607",,DRX180133,ADU,R,2018-10-09 08:13:22,0,0,0,0,0,0,1,1,1,0,No,
,006 002505000,"1716 10TH ST, Oakland, CA 94607",,DRX180135,ADU,R,2018-10-05 15:57:08,0,0,0,0,0,0,1,1,1,0,No,
,006 003103000,1009 WOOD ST,,PLN18012,SFD,O,2018-02-02 00:00:00,0,0,0,0,0,0,1,1,1,0,No,
,006 003506400,834 PINE ST,,PLN18301,SFD,O,2018-08-15 00:00:00,0,0,0,0,0,0,1,1,1,0,No,
,007 055300400,1419 PERALTA ST,,PLN18194,SFD,O,2018-05-31 00:00:00,0,0,0,0,0,0,1,1,1,0,No,
,007 055302300,"1627 15TH ST, Oakland, CA 94607",,DRX180153,ADU,R,2018-11-01 14:56:19,0,0,0,0,0,0,1,1,1,0,No,
,007 059502600,3236 HELEN ST,,PLN18220,SFD,O,2018-06-21 00:00:00,0,0,0,0,0,0,1,1,1,0,No,
,007 059701800,3231 HANNAH ST,,PLN18147,SFD,O,2018-04-18 00:00:00,0,0,0,0,0,0,1,1,1,0,No,
,007 059701900,3225 HANNAH ST,,PLN18146,SFD,O,2018-04-18 00:00:00,0,0,0,0,0,0,1,1,1,0,No,
,007 059702000,3223 HANNAH ST,,PLN18145,SFD,O,2018-04-18 00:00:00,0,0,0,0,0,0,1,1,1,0,No,
,009 069403200,"819 30TH ST, Oakland, CA 94608",,DRX180155,ADU,R,2018-12-06 10:33:00,0,0,0,0,0,0,1,1,1,0,No,
,009 069600500,"2903 M L KING JR WY, Oakland, CA 94609",,DRX180163,ADU,R,2018-08-10 14:17:28,0,0,0,0,0,0,1,1,1,0,No,
,009 071604800,"541 33RD ST, Oakland, CA 94609",,DRX180165,ADU,R,2018-07-30 12:42:03,0,0,0,0,0,0,1,1,1,0,No,
,009 071801500,"710 BROCKHURST ST, Oakland, CA 94609",,DRX180174,ADU,R,2018-02-05 09:40:47,0,0,0,0,0,0,1,1,1,0,No,
,009 071902400,"3230 MARKET ST, Oakland, CA 94608",,DRX180178,ADU,R,2018-10-11 16:55:23,0,0,0,0,0,0,1,1,1,0,No,
,010 079100400,"435 VERNON ST, Oakland, CA 94610",,DRX180185,ADU,R,2018-02-14 11:28:05,0,0,0,0,0,0,1,1,1,0,No,
,010 079602300,"274 VERNON ST, Oakland, CA 94610",,DRX180203,ADU,R,2018-03-13 15:15:11,0,0,0,0,0,0,1,1,1,0,No,
,010 079901100,"91 HAMILTON PL, Oakland, CA 94612",,DRX180206,ADU,R,2018-08-21 14:40:39,0,0,0,0,0,0,1,1,1,0,No,
,010 082102400,469 JEAN ST,,PLN16193-R01,SFD,O,2018-02-10 00:00:00,0,0,0,0,0,0,1,1,1,0,No,
,010 083001600,"625 VERNON ST, Oakland, CA 94610",,DRX180214,ADU,R,2018-04-13 08:39:20,0,0,0,0,0,0,1,1,1,0,No,
,010 083202400,"648 CHETWOOD ST, Oakland, CA 94610",,DRX180223,ADU,R,2018-07-06 15:24:45,0,0,0,0,0,0,1,1,1,0,No,
,010 083503300,"622 VALLE VISTA AVE, Oakland, CA 94610",,DRX180231,ADU,R,2018-03-23 12:14:55,0,0,0,0,0,0,1,1,1,0,No,
,011 084400700,"871 WALKER AVE, Oakland, CA 94610",,DRX180245,ADU,R,2018-12-04 09:01:34,0,0,0,0,0,0,1,1,1,0,No,
,011 085902000,"586 WALAVISTA AVE, Oakland, CA 94610",,DRX180255,ADU,R,2018-01-25 08:19:25,0,0,0,0,0,0,1,1,1,0,No,
,011 086104000,"4049 LAKESHORE AVE, Oakland, CA 94610",,DRX180257,ADU,R,2018-02-09 15:12:31,0,0,0,0,0,0,1,1,1,0,No,
,011 086403500,"715 ARIMO AVE, Oakland, CA 94610",,DRX180271,ADU,R,2018-04-13 09:40:08,0,0,0,0,0,0,1,1,1,0,No,
,011 086504000,"705 WALAVISTA AVE, Oakland, CA 94610",,DRX180282,ADU,R,2018-12-13 08:39:40,0,0,0,0,0,0,1,1,1,0,No,
,011 086600500,"3861 BALFOUR AVE, Oakland, CA 94610",,DRX180288,ADU,R,2018-01-31 16:18:21,0,0,0,0,0,0,1,1,1,0,No,
,011 087503600,"667 SANTA RAY AVE, Oakland, CA 94610",,DRX180301,ADU,R,2018-04-19 15:42:45,0,0,0,0,0,0,1,1,1,0,No,
,011 089203500,"657 CARLSTON AVE, Oakland, CA 94610",,DRX180311,ADU,R,2018-04-09 15:52:36,0,0,0,0,0,0,1,1,1,0,No,
,011 089800612,"921 UNDERHILLS RD, Oakland, CA 94610",,DRX180317,ADU,R,2018-02-27 09:32:54,0,0,0,0,0,0,1,1,1,0,No,
,012 093201100,"571 EL DORADO AVE, Oakland, CA 94611",,DRX180324,ADU,R,2018-01-10 10:20:43,0,0,0,0,0,0,1,1,1,0,No,
,012 093501101,"90 MONTE VISTA AVE, Oakland, CA 94611",,DRX180329,ADU,R,2018-06-14 15:01:09,0,0,0,0,0,0,1,1,1,0,No,
,012 093504300,"30 MONTELL ST, Oakland, CA 94611",,DRX180340,ADU,R,2018-12-03 08:17:40,0,0,0,0,0,0,1,1,1,0,No,
,012 095506600,"961 39TH ST, Oakland, CA 94608",,DRX180345,ADU,R,2018-01-10 10:41:32,0,0,0,0,0,0,1,1,1,0,No,
,012 096401000,"674 W MACARTHUR BLVD, Oakland, CA 94609",,DRX180356,ADU,R,2018-03-19 11:06:33,0,0,0,0,0,0,1,1,1,0,No,
,012 097902000,"356 W MACARTHUR BLVD, Oakland, CA 94609",,DRX180364,ADU,R,2018-03-01 13:39:18,0,0,0,0,0,0,1,1,1,0,No,
,012 097902000,"356 W MACARTHUR BLVD, Oakland, CA 94609",,DRX180368,ADU,R,2018-04-12 10:51:06,0,0,0,0,0,0,1,1,1,0,No,
,012 099402300,"4148 HOWE ST, Oakland, CA 94611",,DRX180383,ADU,R,2018-06-13 10:18:47,0,0,0,0,0,0,1,1,1,0,No,
,012 100400600,"4169 MANILA AVE, Oakland, CA 94609",,DRX180386,ADU,R,2018-11-09 13:29:08,0,0,0,0,0,0,1,1,1,0,No,
,012 101002401,"443 RICH ST, Oakland, CA 94609",,DRX180408,ADU,R,2018-07-03 15:47:51,0,0,0,0,0,0,1,1,1,0,No,
,012 101800100,"4029 LUSK ST, Oakland, CA 94608",,DRX180409,ADU,R,2018-06-18 08:47:56,0,0,0,0,0,0,1,1,1,0,No,
,012 101901000,"890 41ST ST, Oakland, CA 94608",,DRX180410,ADU,R,2018-09-17 12:23:53,0,0,0,0,0,0,1,1,1,0,No,
,013 108701600,"978 44TH ST, Oakland, CA 94608",,DRX180413,ADU,R,2018-08-22 11:07:57,0,0,0,0,0,0,1,1,1,0,No,
,013 109002900,"869 43RD ST, Oakland, CA 94608",,DRX180414,ADU,R,2018-08-13 08:58:48,0,0,0,0,0,0,1,1,1,0,No,
,013 109200900,"688 43RD ST, Oakland, CA 94609",,DRX180425,ADU,R,2018-05-01 10:25:18,0,0,0,0,0,0,1,1,1,0,No,
,013 109901400,"462 44TH ST, Oakland, CA 94609",,DRX180432,ADU,R,2018-05-23 12:08:27,0,0,0,0,0,0,1,1,1,0,No,
